,polaridad
181,0.4978922592055748
182,0.5626617668838808
183,0.25581042421126
184,0.4089458997325598
185,0.4978922592055748
186,0.3161711487683316
187,8.596525567170924e-10
188,0.3161711487683316
189,0.3448789537043245
190,0.25581042421126
191,0.0008716671986659
192,0.9515812531335752
193,0.8113248625172313
194,0.2826351893423548
195,0.4978922592055748
196,0.4978922592055748
197,0.0094901103337959
198,0.1789183851337568
199,0.4978922592055748
200,0.5861103169238716
201,0.0095680351069732
202,0.4978922592055748
203,2.2036036941639653e-08
204,0.0085145570191622
205,0.1966513218550911
206,0.0939656090432864
207,0.7024804724760795
208,4.174049747425703e-06
209,0.0629714988575473
210,0.4978922592055748
211,0.0155347068566383
212,3.8405017047766035e-09
213,0.2558898783859035
214,0.3229081580591911
215,0.4978922592055748
216,3.5402800487740825e-06
217,0.2914426768861168
218,0.0093978995729795
219,0.0015015834922096
220,0.4978922592055748
221,0.5041876434830258
222,0.4978922592055748
223,0.001754347086793
224,0.2197415811058288
225,0.2120335271377775
226,1.0508173962580777e-13
227,0.3020065339454317
228,0.0835845810891258
229,0.3920775259595825
230,0.0379722146251286
231,8.23432757164827e-05
232,0.4978922592055748
233,0.0098495348701863
234,0.2794653930830212
235,0.4737554465528978
236,0.4978922592055748
237,0.4737554465528978
238,0.0002406722699788
239,0.0243348707537388
240,2.7201549063124784e-06
241,0.4978922592055748
242,0.0004587182975343
243,8.772798462499608e-10
244,0.1334947409192139
245,0.4301606844860919
246,0.0015305667592355
247,0.4978922592055748
248,0.4978922592055748
249,0.0322113483506637
250,0.0008422752337703
251,2.7933266077830376e-06
252,0.4978922592055748
253,0.0530893867088632
254,2.0038890362113778e-08
255,0.4978922592055748
256,0.4737554465528978
257,0.4978922592055748
258,0.1029187323990902
259,0.6015024463378467
260,0.4737554465528978
261,0.0109107992126673
262,0.4978922592055748
263,0.3726847435457324
264,0.0110956563320685
265,0.0027088584609129
266,0.0737064662632023
267,0.0737064662632023
268,1.1538377597145048e-11
269,0.4978922592055748
270,0.4978922592055748
271,5.5868688461387184e-05
272,0.1867666124408061
273,0.5607807934067022
274,0.4978922592055748
275,0.0721223146360605
276,0.782429480926014
277,4.809813759581769e-08
278,0.9588671184724326
279,0.4978922592055748
280,1.7126486561252203e-08
281,0.0002294842960084
282,0.3618079566122433
