,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
102,usted muy bien doctor,['bien'],['doctor'],"[('usted', 'muy'), ('muy', 'bien'), ('bien', 'doctor')]",usted mucho bien doctor,0.9403601665941164
104,usted muy bien doctor,['bien'],['doctor'],"[('usted', 'muy'), ('muy', 'bien'), ('bien', 'doctor')]",usted mucho bien doctor,0.9403601665941164
105,totalmente en desacuerdo con el proceso interno de morena para la elección de la candidata al peor estilo del pri no al imposición,"['totalmente', 'desacuerdo', 'proceso', 'interno', 'elección', 'candidata', 'peor', 'estilo', 'pri', 'imposición']","['totalmente', 'desacuerdo', 'proceso', 'interno', 'morena', 'elección', 'candidata', 'estilo', 'pri', 'imposición']","[('totalmente', 'en'), ('en', 'desacuerdo'), ('desacuerdo', 'con'), ('con', 'el'), ('el', 'proceso'), ('proceso', 'interno'), ('interno', 'de'), ('de', 'morena'), ('morena', 'para'), ('para', 'la'), ('la', 'elección'), ('elección', 'de'), ('de', 'la'), ('la', 'candidata'), ('candidata', 'al'), ('al', 'peor'), ('peor', 'estilo'), ('estilo', 'del'), ('del', 'pri'), ('pri', 'no'), ('no', 'al'), ('al', 'imposición')]",totalmente en desacuerdo con el proceso interno de morena para el elección de el candidata al peor estilo del pri no al imposición,0.003432485908563139
107,totalmente en desacuerdo con el proceso interno de morena para la elección de la candidata al peor estilo del pri no al imposición,"['totalmente', 'desacuerdo', 'proceso', 'interno', 'elección', 'candidata', 'peor', 'estilo', 'pri', 'imposición']","['totalmente', 'desacuerdo', 'proceso', 'interno', 'morena', 'elección', 'candidata', 'estilo', 'pri', 'imposición']","[('totalmente', 'en'), ('en', 'desacuerdo'), ('desacuerdo', 'con'), ('con', 'el'), ('el', 'proceso'), ('proceso', 'interno'), ('interno', 'de'), ('de', 'morena'), ('morena', 'para'), ('para', 'la'), ('la', 'elección'), ('elección', 'de'), ('de', 'la'), ('la', 'candidata'), ('candidata', 'al'), ('al', 'peor'), ('peor', 'estilo'), ('estilo', 'del'), ('del', 'pri'), ('pri', 'no'), ('no', 'al'), ('al', 'imposición')]",totalmente en desacuerdo con el proceso interno de morena para el elección de el candidata al peor estilo del pri no al imposición,0.003432485908563139
108,en jalisco estamos con usted doc  con usted gana el pueblo de jalisco,"['gana', 'pueblo']","['jalisco', 'doc', 'ganar', 'pueblo', 'jalisco']","[('en', 'jalisco'), ('jalisco', 'estamos'), ('estamos', 'con'), ('con', 'usted'), ('usted', 'doc'), ('doc', ' '), (' ', 'con'), ('con', 'usted'), ('usted', 'gana'), ('gana', 'el'), ('el', 'pueblo'), ('pueblo', 'de'), ('de', 'jalisco')]",en jalisco estar con usted doc   con usted ganar el pueblo de jalisco,0.13520676797489192
110,en jalisco estamos con usted doc  con usted gana el pueblo de jalisco,"['gana', 'pueblo']","['jalisco', 'doc', 'ganar', 'pueblo', 'jalisco']","[('en', 'jalisco'), ('jalisco', 'estamos'), ('estamos', 'con'), ('con', 'usted'), ('usted', 'doc'), ('doc', ' '), (' ', 'con'), ('con', 'usted'), ('usted', 'gana'), ('gana', 'el'), ('el', 'pueblo'), ('pueblo', 'de'), ('de', 'jalisco')]",en jalisco estar con usted doc   con usted ganar el pueblo de jalisco,0.13520676797489192
111,lo haremos de la mano de usted doctor por un jalisco libre de violencia donde se protejan y garanticen nuestros derechos,"['haremos', 'mano', 'libre', 'violencia', 'protejan', 'garanticen', 'derechos']","['hacer', 'mano', 'doctor', 'jalisco', 'libre', 'violencia', 'proteger', 'garanticen', 'derecho']","[('lo', 'haremos'), ('haremos', 'de'), ('de', 'la'), ('la', 'mano'), ('mano', 'de'), ('de', 'usted'), ('usted', 'doctor'), ('doctor', 'por'), ('por', 'un'), ('un', 'jalisco'), ('jalisco', 'libre'), ('libre', 'de'), ('de', 'violencia'), ('violencia', 'donde'), ('donde', 'se'), ('se', 'protejan'), ('protejan', 'y'), ('y', 'garanticen'), ('garanticen', 'nuestros'), ('nuestros', 'derechos')]",él hacer de el mano de usted doctor por uno jalisco libre de violencia donde él proteger y garanticen nuestro derecho,0.006913290289548729
113,lo haremos de la mano de usted doctor por un jalisco libre de violencia donde se protejan y garanticen nuestros derechos,"['haremos', 'mano', 'libre', 'violencia', 'protejan', 'garanticen', 'derechos']","['hacer', 'mano', 'doctor', 'jalisco', 'libre', 'violencia', 'proteger', 'garanticen', 'derecho']","[('lo', 'haremos'), ('haremos', 'de'), ('de', 'la'), ('la', 'mano'), ('mano', 'de'), ('de', 'usted'), ('usted', 'doctor'), ('doctor', 'por'), ('por', 'un'), ('un', 'jalisco'), ('jalisco', 'libre'), ('libre', 'de'), ('de', 'violencia'), ('violencia', 'donde'), ('donde', 'se'), ('se', 'protejan'), ('protejan', 'y'), ('y', 'garanticen'), ('garanticen', 'nuestros'), ('nuestros', 'derechos')]",él hacer de el mano de usted doctor por uno jalisco libre de violencia donde él proteger y garanticen nuestro derecho,0.006913290289548729
114,usted es el bueno para coordinar la 4 t en jalisco,"['bueno', 'coordinar', 't']","['coordinar', 't', 'jalisco']","[('usted', 'es'), ('es', 'el'), ('el', 'bueno'), ('bueno', 'para'), ('para', 'coordinar'), ('coordinar', 'la'), ('la', '4'), ('4', 't'), ('t', 'en'), ('en', 'jalisco')]",usted ser el bueno para coordinar el 4 t en jalisco,0.4731116932799126
116,usted es el bueno para coordinar la 4 t en jalisco,"['bueno', 'coordinar', 't']","['coordinar', 't', 'jalisco']","[('usted', 'es'), ('es', 'el'), ('el', 'bueno'), ('bueno', 'para'), ('para', 'coordinar'), ('coordinar', 'la'), ('la', '4'), ('4', 't'), ('t', 'en'), ('en', 'jalisco')]",usted ser el bueno para coordinar el 4 t en jalisco,0.4731116932799126
