"e1g2efjf5 href","tiktok-1zpj2q-ImgAvatar src","tiktok-1665s4c-SpanUserNameText","tiktok-xm2h10-PCommentText","tiktok-4tru0g-SpanCreatedTime","tiktok-ro5z69-SpanReplyButton","tiktok-gb2mrc-SpanCount"
"https://www.tiktok.com/@lalala4439","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1694923200&x-signature=9pnGUn%2B5Rt7YTQHjBUQEKJ%2FBIy8%3D","lalala","para poder votar necesito saber que ha hecho que me convenza para votar por ella","hace 3 día(s)","Responder","0"
"https://www.tiktok.com/@lalala4439","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1694923200&x-signature=9pnGUn%2B5Rt7YTQHjBUQEKJ%2FBIy8%3D","lalala","si ahorita es humilde pero que alguien me diga que ha hecho por Chiapas desconozco que ha hecho","hace 3 día(s)","Responder","0"
"https://www.tiktok.com/@vicor700","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/916f4b0e9361dbc3ce713bfcb723cc5d~c5_100x100.jpg?x-expires=1694923200&x-signature=u2ZlR%2Bg2xaHk8%2Fnatpo7FJPZ52U%3D","victordiaz7000","Jajaja nobtiene verguenza el poder los ciega y traiciona una ratota","hace 3 día(s)","Responder","0"
"https://www.tiktok.com/@glezal","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1694923200&x-signature=9pnGUn%2B5Rt7YTQHjBUQEKJ%2FBIy8%3D","glezal","jejejejejee","hace 5 día(s)","Responder","0"
"https://www.tiktok.com/@eduardograjales2","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1664649270819846~c5_100x100.jpg?x-expires=1694923200&x-signature=t9TRXk1aYm6ANuI%2BE0XCA3dYEpA%3D","Eduardo Grajales","Que humildad q la gente se da cuenta","hace 1 semana(s)","Responder","1"
"https://www.tiktok.com/@iel.dan","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e9c1e1f93bf669eecaf0d02ad2aa6622~c5_100x100.jpg?x-expires=1694923200&x-signature=Shp%2BTNwTWypFzLzjkOP1WE4dlCw%3D","Dan.iel","ya regreso??","9-6","Responder","1"
"https://www.tiktok.com/@user2495328471433","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7088f6c7a9e90a8437337e6609d26523~c5_100x100.jpg?x-expires=1694923200&x-signature=4FZhRrMSER6gjAkz0xYuSsHKMq8%3D","sofia lunes","echale ganas sasil viva sasil","9-6","Responder","0"
"https://www.tiktok.com/@talos61","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7248247063291363334~c5_100x100.jpg?x-expires=1694923200&x-signature=cttfqLq6%2FDSTORTVnpGLZ4VwT28%3D","juancarloscast8122","RATA","hace 4 día(s)","Responder","0"
"","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7143657206507831302~c5_100x100.jpeg?x-expires=1695009600&x-signature=8%2FD%2Fv0kMJKFqQZK4RYx21KLVoTA%3D","","","","",""
"","","","","","",""
"https://www.tiktok.com/@rubinabla","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1694923200&x-signature=9pnGUn%2B5Rt7YTQHjBUQEKJ%2FBIy8%3D","rubinabla","ahorita hasta se pega con sus cabezas porque quiere votos despues si gana no las conoce ella es rica esto lo hace por conveniencia no creaan","hace 4 día(s)","Responder","0"
"https://www.tiktok.com/@mick8037","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/5c79b4a24057cede79ba7b984588d20b~c5_100x100.jpg?x-expires=1694923200&x-signature=i9k4V0ymnLiVxFM5FJL%2FL12AJTU%3D","Nacho nache","No debería estar en la carcel por ratera","hace 6 día(s)","Responder","1"
"https://www.tiktok.com/@carloscruzqdo","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a8d8d1bd942ed4a769e18e4f73b9f726~c5_100x100.jpg?x-expires=1694923200&x-signature=JZllkcXRxkyaTgxu%2BOfrFVuUrw8%3D","user1154198750810","Siempre aquí en mi pueblo todos con sasil","9-7","Responder","0"
"","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7143657206507831302~c5_100x100.jpeg?x-expires=1695009600&x-signature=8%2FD%2Fv0kMJKFqQZK4RYx21KLVoTA%3D","","","","",""
"","","","","","",""
"https://www.tiktok.com/@astrid09hassey9","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6fdb17ced90b39c2b644969b9fe16d08~c5_100x100.jpg?x-expires=1694923200&x-signature=TWNhm3KnWCbK1HPnKELAtMHUFW8%3D","astrid09hassey9","las q aun tienenlandicha de tenerlas abrazenkas y consientanlas no solo hoy siempre, los abuelos son los principales pilares de la familia 🥰🥰🥰","8-28","Responder","0"
"https://www.tiktok.com/@patriciadejesushernande0","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e1f4e00ea94d8d5b081130080e1b72e1~c5_100x100.jpg?x-expires=1694923200&x-signature=W7WWUZ1fcR%2FD4jamiavSw%2F5rQps%3D","patolink....","Claudia si va","hace 3 día(s)","Responder","0"
"https://www.tiktok.com/@krissvalen","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1666143858476038~c5_100x100.jpg?x-expires=1694923200&x-signature=Tyy1xJUgiT76c2ffxazCQYUgkEY%3D","Kriss Valen","🥰🥰🥰🥰","9-2","Responder","0"
"https://www.tiktok.com/@barba..roja","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fc2d44b047bcb266e46b77819ccde848~c5_100x100.jpg?x-expires=1694923200&x-signature=eOhuDO605O478HoXKBrI1ivUpEY%3D","Barba_Roja","En Villaflores no hizo nada más que robar","8-27","Responder","0"
"https://www.tiktok.com/@pattymoreno791","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7117828297955115013~c5_100x100.jpg?x-expires=1694923200&x-signature=sCoWthMMIqiQpBSG04%2Bd2g88OQQ%3D","pattymoreno791","es el cerrito de San Cristóbal 😁","8-25","Responder","0"
"https://www.tiktok.com/@giovannapatriciad2","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a9c2b50ec2e8e0231b42e64b1ac95e6b~c5_100x100.jpg?x-expires=1694923200&x-signature=dOwh0z1K1mWyRzzkrUiiuwFX7IE%3D","giode leon","no es que sea machista simplemente no tiene la inteligencia y la estrategia que se requiere para ser gobernadora de chiapas un estado pobre y rico!","8-22","Responder","2"
"https://www.tiktok.com/@giovannapatriciad2","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a9c2b50ec2e8e0231b42e64b1ac95e6b~c5_100x100.jpg?x-expires=1694923200&x-signature=dOwh0z1K1mWyRzzkrUiiuwFX7IE%3D","giode leon","ella no puede ser gobernadora de chiapas quedaría peor que Manuel velazco vienen de la misma cuna si rutilio no hizo nada se imaginan ella!","8-22","Responder","2"
