"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-41hm0z src 2","video-count","tiktok-j2a19r-SpanText","tiktok-j2a19r-SpanText 2","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6","ejg0rhn6 href 7","tiktok-1p6dp51-StrongText 7"
"https://www.tiktok.com/@sasildeleon/video/7252133848165797126","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/dd3efd97b039410d981aaf6fbd07c5aa_1688518998~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=IjGnKpOESZnBTxbaRRwowS93z3M%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/dd3efd97b039410d981aaf6fbd07c5aa_1688518998?x-expires=1695898800&x-signature=%2F%2Bh8uALKFoGe0RIlUJ2swSgcuT8%3D","7624","Del Senado de la República a Chiapas","","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/foryou","#foryou","https://www.tiktok.com/tag/senado","#senado","https://www.tiktok.com/tag/senadora","#senadora","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7251072762041748742","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/86673953f32f47ed8e6707b0a4a80577_1688271946~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=ZhWZUe9Y7ZxoyNx5Vu5r1Si82DA%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/86673953f32f47ed8e6707b0a4a80577_1688271946?x-expires=1695898800&x-signature=FpDqsxNImeaHQrka6RkcsIsUK%2FE%3D","1710","El movimiento por la 4ta transformación del México sigue adelante. Celebramos 5 años del cambio verdadero.","¡Ni un paso atrás! 🇲🇽","","","","","","","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7249377983381753093","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/bbfedfb419c74e6ebb6a0ce2debbbe84_1687877349~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=8tHSEZdyVSJw4ynbgd%2BgL%2Fj92aw%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/bbfedfb419c74e6ebb6a0ce2debbbe84_1687877349?x-expires=1695898800&x-signature=VJ4d9cYnQn4VZhfwHLbYe5ir6Jc%3D","2504","Visitamos la Zona Arqueológica de Palenque,",". Declarado Patrimonio de la Humanidad de la UNESCO desde 1987 🤩","https://www.tiktok.com/tag/pueblom%C3%A1gico","#PuebloMágico","","","","","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7248776152611917061","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/7dd41fc0090d42e7a1362c6e2747262e_1687802190~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=P94ALaG%2Fzv8Lls8eZyza349MX1U%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/7dd41fc0090d42e7a1362c6e2747262e_1687802190?x-expires=1695898800&x-signature=wANMSml1jDNpUQLZ4G6ejTJbf9U%3D","25K","","","","","","","","","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7247679649214467333","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/3bdb828ac33d449298d1d19ae7716bbe_1687481924~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=LqzBxeHQCJgH6MCsfkf6OOwg9Qg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3bdb828ac33d449298d1d19ae7716bbe_1687481924?x-expires=1695898800&x-signature=P1qDNuA8R1qQDSJI6CFjrwYJIbI%3D","11.3K","Me restaurante favorito de Palenque 🐟","","https://www.tiktok.com/tag/palenque","#palenque","https://www.tiktok.com/tag/chiapas","#chiapas","https://www.tiktok.com/tag/foryou","#foryou","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7246790660248980741","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/93fe0606ffc241388547fe391c0d1fcd_1687276874~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=KopwmMCCBlmOQICJAPcxf6SzvB8%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/93fe0606ffc241388547fe391c0d1fcd_1687276874?x-expires=1695898800&x-signature=4oNzXDdmNAcawsVHQJlDiT%2FQLi8%3D","15.4K","Les comparto un poquito de la diversidad cultural del estado de",".","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/ogullosamentechiapaneca","#OgullosamenteChiapaneca","https://www.tiktok.com/tag/fyp","#fyp","https://www.tiktok.com/tag/parati","#parati","https://www.tiktok.com/tag/lodescubrientiktok","#lodescubrientiktok","","","",""
"https://www.tiktok.com/@sasildeleon/video/7172754609365175557","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/72d2adf92c554d61a231121c4571009b_1670037093~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=LquHV%2FBtqT48DvQiO3RmHaTZmMg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/72d2adf92c554d61a231121c4571009b_1670037093?x-expires=1695898800&x-signature=X42nweyXviBmdJBikswLL3IW8M8%3D","5018","Amigas y amigos, se acercan fechas especiales, por ese  motivo les comparto un tutorial para realizar un árbol navideño con naturaleza muerta para adornar sus hogares en estas celebraciones.","","https://www.tiktok.com/tag/navidad","#navidad","https://www.tiktok.com/tag/intercambio","#intercambio","https://www.tiktok.com/tag/manualidades","#manualidades","https://www.tiktok.com/tag/arboldenavidad","#arboldenavidad","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7171160161845890309","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/880163ac70d145cd8c104884b78c174b_1669665842~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=R4MiVcLuRKgIOZbddJyS5LWVQmk%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/880163ac70d145cd8c104884b78c174b_1669665842?x-expires=1695898800&x-signature=AW5hn%2Fm%2BXVD9Ffhm89GvXndrKDM%3D","2935","¡Tenemos la certeza de que","han dado grandes frutos!","https://www.tiktok.com/tag/4a%C3%B1osdetransformaci%C3%B3n","#4AñosDeTransformación","https://www.tiktok.com/tag/marchadelpueblo","#MarchaDelPueblo","https://www.tiktok.com/tag/esunhonormarcharconobrador","#EsUnHonorMarcharConObrador","https://www.tiktok.com/tag/m%C3%A9xicoconamlo","#MéxicoConAMLO","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7162673170296704261","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oYgGLx3AXxahBSfKwIIB5UAk37oNoADmqNsESz~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=JjRaZ%2FcQ0xznwZQSlm7qiczSXdo%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYgGLx3AXxahBSfKwIIB5UAk37oNoADmqNsESz?x-expires=1695898800&x-signature=3vb16a5kY8t6HGjOetv2HnRi43E%3D","1587","Gracias a mi amigo Víctor Caloca de TintaFresca BoxChiapas por la invitación a practicar box.","","","","","","","","","","","","","","",""
"https://www.tiktok.com/@sasildeleon/video/7150096245493648646","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/4793526e01fe4365bda25cb4067bee75~tplv-photomode-zoomcover:480:480.avif?x-expires=1695898800&x-signature=UuPkumrSLDfGmsbIxy%2BPVtQvlJg%3D","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4793526e01fe4365bda25cb4067bee75?x-expires=1695898800&x-signature=keuBnGtAxJf%2Bhf%2BgOqNic8qdrtI%3D","2745","Te digo las 5 razones por las que Chiapas es el estado más mexicano de la República.","","https://www.tiktok.com/tag/chiapas","#Chiapas","https://www.tiktok.com/tag/chiapasmexico","#chiapasmexico","https://www.tiktok.com/tag/m%C3%A9xico","#méxico","https://www.tiktok.com/tag/tradiciones","#tradiciones","","","","","",""
