,texto,tokens
10,uno de los temas a tratar en nuestra es la denuncia de cómo el,"['uno', 'de', 'los', 'temas', 'a', 'tratar', 'en', 'nuestra', 'es', 'la', 'denuncia', 'de', 'cómo', 'el']"
11,iniciamos nuestra tradicional conferencia de prensa en este día nublado tan nublado como la administración del gobierno municipal de guadalajara,"['iniciamos', 'nuestra', 'tradicional', 'conferencia', 'de', 'prensa', 'en', 'este', 'día', 'nublado', 'tan', 'nublado', 'como', 'la', 'administración', 'del', 'gobierno', 'municipal', 'de', 'guadalajara']"
12,para cerrar la semana es bueno recordar que el liderazgo se gana con amor y compromiso tengan un feliz domingo,"['para', 'cerrar', 'la', 'semana', 'es', 'bueno', 'recordar', 'que', 'el', 'liderazgo', 'se', 'gana', 'con', 'amor', 'y', 'compromiso', 'tengan', 'un', 'feliz', 'domingo']"
13,hoy tuvimos el honor de recibir a la dra en jalisco su compromiso con la cuarta transformación nos llena de inspiración apoyamos su liderazgo como coordinadora de defensa de la 4t,"['hoy', 'tuvimos', 'el', 'honor', 'de', 'recibir', 'a', 'la', 'dra', 'en', 'jalisco', 'su', 'compromiso', 'con', 'la', 'cuarta', 'transformación', 'nos', 'llena', 'de', 'inspiración', 'apoyamos', 'su', 'liderazgo', 'como', 'coordinadora', 'de', 'defensa', 'de', 'la', '4t']"
14,agradecido con todas sus muestras de cariño y sus palabras de aliento,"['agradecido', 'con', 'todas', 'sus', 'muestras', 'de', 'cariño', 'y', 'sus', 'palabras', 'de', 'aliento']"
15,saludando a una amiga de verdad la primera mujer en ocupar la mas alta responsabilidad en méxico la dra ella es,"['saludando', 'a', 'una', 'amiga', 'de', 'verdad', 'la', 'primera', 'mujer', 'en', 'ocupar', 'la', 'mas', 'alta', 'responsabilidad', 'en', 'méxico', 'la', 'dra', 'ella', 'es']"
16,bienvenida a jalisco,"['bienvenida', 'a', 'jalisco']"
17,hoy mientras compartía con mi esposa e hijas reflexionaba sobre cómo he tenido la bendición de conocer cada rincón de jalisco y en cada comunidad he tenido al menos una amiga o amigo qué hermoso regalo me ha dado dios,"['hoy', 'mientras', 'compartía', 'con', 'mi', 'esposa', 'e', 'hijas', 'reflexionaba', 'sobre', 'cómo', 'he', 'tenido', 'la', 'bendición', 'de', 'conocer', 'cada', 'rincón', 'de', 'jalisco', 'y', 'en', 'cada', 'comunidad', 'he', 'tenido', 'al', 'menos', 'una', 'amiga', 'o', 'amigo', 'qué', 'hermoso', 'regalo', 'me', 'ha', 'dado', 'dios']"
18,el día de hoy tuve el gusto de compartir un momento muy especial con las y los vecinos de tonalá quienes me invitaron a conversar sobre mi deseo de coordinar los comités de defensa de la cuarta transformación en jalisco todavía falta mucho por hacer en jalisco sigamos,"['el', 'día', 'de', 'hoy', 'tuve', 'el', 'gusto', 'de', 'compartir', 'un', 'momento', 'muy', 'especial', 'con', 'las', 'y', 'los', 'vecinos', 'de', 'tonalá', 'quienes', 'me', 'invitaron', 'a', 'conversar', 'sobre', 'mi', 'deseo', 'de', 'coordinar', 'los', 'comités', 'de', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'en', 'jalisco', 'todavía', 'falta', 'mucho', 'por', 'hacer', 'en', 'jalisco', 'sigamos']"
19,cómo están cuando leo sus comentarios en las redes sociales y escucho a la gente en mis recorridos no solo los comprendo sino que también encuentro el camino para trabajar incansablemente por un futuro mejor para el estado la vida me ha enseñado a tener el compromiso de,"['cómo', 'están', 'cuando', 'leo', 'sus', 'comentarios', 'en', 'las', 'redes', 'sociales', 'y', 'escucho', 'a', 'la', 'gente', 'en', 'mis', 'recorridos', 'no', 'solo', 'los', 'comprendo', 'sino', 'que', 'también', 'encuentro', 'el', 'camino', 'para', 'trabajar', 'incansablemente', 'por', 'un', 'futuro', 'mejor', 'para', 'el', 'estado', 'la', 'vida', 'me', 'ha', 'enseñado', 'a', 'tener', 'el', 'compromiso', 'de']"
20,mujer vida libertad este fue el grito que envió a la cárcel a narges mohammadi activista iraní que ha sido galardonada hoy con el premio nobel de la paz ella y muchas otras mujeres víctimas de una sistemática violencia y de la indiferencia de su gobierno ante sus clamores,"['mujer', 'vida', 'libertad', 'este', 'fue', 'el', 'grito', 'que', 'envió', 'a', 'la', 'cárcel', 'a', 'narges', 'mohammadi', 'activista', 'iraní', 'que', 'ha', 'sido', 'galardonada', 'hoy', 'con', 'el', 'premio', 'nobel', 'de', 'la', 'paz', 'ella', 'y', 'muchas', 'otras', 'mujeres', 'víctimas', 'de', 'una', 'sistemática', 'violencia', 'y', 'de', 'la', 'indiferencia', 'de', 'su', 'gobierno', 'ante', 'sus', 'clamores']"
21,hoy conmemoramos el 2 de octubre un día que no se olvida y en 2011 se fundó como asociación civil un paso crucial en nuestro camino hacia la democracia y la justicia de mexico y de nuestro estado en 2018 logramos un cambio hoy tenemos un presidente que,"['hoy', 'conmemoramos', 'el', '2', 'de', 'octubre', 'un', 'día', 'que', 'no', 'se', 'olvida', 'y', 'en', '2011', 'se', 'fundó', 'como', 'asociación', 'civil', 'un', 'paso', 'crucial', 'en', 'nuestro', 'camino', 'hacia', 'la', 'democracia', 'y', 'la', 'justicia', 'de', 'mexico', 'y', 'de', 'nuestro', 'estado', 'en', '2018', 'logramos', 'un', 'cambio', 'hoy', 'tenemos', 'un', 'presidente', 'que']"
22,el inversor y empresario warren buffett acuñó la frase la honestidad es un regalo costoso no lo esperes de personas baratas y sin duda en la vida la integridad es la base de una sociedad fuerte y próspera tengan un buen arranque de semana,"['el', 'inversor', 'y', 'empresario', 'warren', 'buffett', 'acuñó', 'la', 'frase', 'la', 'honestidad', 'es', 'un', 'regalo', 'costoso', 'no', 'lo', 'esperes', 'de', 'personas', 'baratas', 'y', 'sin', 'duda', 'en', 'la', 'vida', 'la', 'integridad', 'es', 'la', 'base', 'de', 'una', 'sociedad', 'fuerte', 'y', 'próspera', 'tengan', 'un', 'buen', 'arranque', 'de', 'semana']"
23,por este medio manifiesto que desconozco quien o quienes han pintado las diversas bardas que han aparecido en la ciudad así como colocado las lonas de apoyo hacia mi persona me deslindo de la realización de los actos referidos y exhorto a mis simpatizantes a que se conduzcan,"['por', 'este', 'medio', 'manifiesto', 'que', 'desconozco', 'quien', 'o', 'quienes', 'han', 'pintado', 'las', 'diversas', 'bardas', 'que', 'han', 'aparecido', 'en', 'la', 'ciudad', 'así', 'como', 'colocado', 'las', 'lonas', 'de', 'apoyo', 'hacia', 'mi', 'persona', 'me', 'deslindo', 'de', 'la', 'realización', 'de', 'los', 'actos', 'referidos', 'y', 'exhorto', 'a', 'mis', 'simpatizantes', 'a', 'que', 'se', 'conduzcan']"
24,en 2017 mi amigo y maestro andrés manuel lópez obrador escribió este libro poniendo claro su proyecto alternativo de nación a seis años y listos para la siguiente transformación sólo puedo decir misión cumplida presidente,"['en', '2017', 'mi', 'amigo', 'y', 'maestro', 'andrés', 'manuel', 'lópez', 'obrador', 'escribió', 'este', 'libro', 'poniendo', 'claro', 'su', 'proyecto', 'alternativo', 'de', 'nación', 'a', 'seis', 'años', 'y', 'listos', 'para', 'la', 'siguiente', 'transformación', 'sólo', 'puedo', 'decir', 'misión', 'cumplida', 'presidente']"
25,los quioscos de jalisco están llenos de historia y recuerdos a ver cuáles reconocen de estas fotos,"['los', 'quioscos', 'de', 'jalisco', 'están', 'llenos', 'de', 'historia', 'y', 'recuerdos', 'a', 'ver', 'cuáles', 'reconocen', 'de', 'estas', 'fotos']"
26,con el pueblo todo por el pueblo todo,"['con', 'el', 'pueblo', 'todo', 'por', 'el', 'pueblo', 'todo']"
27,no podemos cerrar los ojos ante la injusticia la brecha salarial de género persiste y no podemos permitir que eso siga pasando,"['no', 'podemos', 'cerrar', 'los', 'ojos', 'ante', 'la', 'injusticia', 'la', 'brecha', 'salarial', 'de', 'género', 'persiste', 'y', 'no', 'podemos', 'permitir', 'que', 'eso', 'siga', 'pasando']"
28,el día de hoy se realizó la segunda sesión extraordinaria del consejo estatal de morena jalisco de la que salimos más fortalecidos como movimiento agradezco a mis compañeras y compañeros por su compromiso y dedicación estamos llamados a ser parte de un proyecto transformador,"['el', 'día', 'de', 'hoy', 'se', 'realizó', 'la', 'segunda', 'sesión', 'extraordinaria', 'del', 'consejo', 'estatal', 'de', 'morena', 'jalisco', 'de', 'la', 'que', 'salimos', 'más', 'fortalecidos', 'como', 'movimiento', 'agradezco', 'a', 'mis', 'compañeras', 'y', 'compañeros', 'por', 'su', 'compromiso', 'y', 'dedicación', 'estamos', 'llamados', 'a', 'ser', 'parte', 'de', 'un', 'proyecto', 'transformador']"
29,todo se puede lograr si trabajamos con convicción y honestidad hagamos posibles nuestros sueños,"['todo', 'se', 'puede', 'lograr', 'si', 'trabajamos', 'con', 'convicción', 'y', 'honestidad', 'hagamos', 'posibles', 'nuestros', 'sueños']"
30,aquí estoy con la cabeza en alto y el corazón encendido a punto de alcanzar este sueño vamos unidos por la esperanza vamos unidos por jalisco vamos unidos por méxico,"['aquí', 'estoy', 'con', 'la', 'cabeza', 'en', 'alto', 'y', 'el', 'corazón', 'encendido', 'a', 'punto', 'de', 'alcanzar', 'este', 'sueño', 'vamos', 'unidos', 'por', 'la', 'esperanza', 'vamos', 'unidos', 'por', 'jalisco', 'vamos', 'unidos', 'por', 'méxico']"
31,tenemos frente a nosotros una enorme responsabilidad pero podemos con ella el destino nos llama estamos llamados a ser parte de un proyecto muy grande que es la transformación de una realidad que duele al pueblo de jalisco a mis compañeros les subrayo que estamos,"['tenemos', 'frente', 'a', 'nosotros', 'una', 'enorme', 'responsabilidad', 'pero', 'podemos', 'con', 'ella', 'el', 'destino', 'nos', 'llama', 'estamos', 'llamados', 'a', 'ser', 'parte', 'de', 'un', 'proyecto', 'muy', 'grande', 'que', 'es', 'la', 'transformación', 'de', 'una', 'realidad', 'que', 'duele', 'al', 'pueblo', 'de', 'jalisco', 'a', 'mis', 'compañeros', 'les', 'subrayo', 'que', 'estamos']"
32,a jalisco le urge que llegue la cuarta transformación porque necesitamos que regresen la paz y tranquilidad que haya rumbo educación y seguridad para nuestros jóvenes que las mujeres y niñas puedan regresar seguras a casa nos merecemos un gobierno lleno de oportunidades de,"['a', 'jalisco', 'le', 'urge', 'que', 'llegue', 'la', 'cuarta', 'transformación', 'porque', 'necesitamos', 'que', 'regresen', 'la', 'paz', 'y', 'tranquilidad', 'que', 'haya', 'rumbo', 'educación', 'y', 'seguridad', 'para', 'nuestros', 'jóvenes', 'que', 'las', 'mujeres', 'y', 'niñas', 'puedan', 'regresar', 'seguras', 'a', 'casa', 'nos', 'merecemos', 'un', 'gobierno', 'lleno', 'de', 'oportunidades', 'de']"
33,en unos minutos se llevará a cabo el segundo simulacro nacional 2023 es vital estar preparados y saber cómo actuar en caso de un sismo tu seguridad y la de tus seres queridos son lo más importante participa y tomemos juntos medidas de precaución para cuidarnos entre todos,"['en', 'unos', 'minutos', 'se', 'llevará', 'a', 'cabo', 'el', 'segundo', 'simulacro', 'nacional', '2023', 'es', 'vital', 'estar', 'preparados', 'y', 'saber', 'cómo', 'actuar', 'en', 'caso', 'de', 'un', 'sismo', 'tu', 'seguridad', 'y', 'la', 'de', 'tus', 'seres', 'queridos', 'son', 'lo', 'más', 'importante', 'participa', 'y', 'tomemos', 'juntos', 'medidas', 'de', 'precaución', 'para', 'cuidarnos', 'entre', 'todos']"
34,cuando se trata de defender a jalisco no hay vuelta atrás siempre estaré aquí firme y sin titubeos dispuesto a enfrentar a los malos gobiernos naranjas juntos construiremos un jalisco mejor,"['cuando', 'se', 'trata', 'de', 'defender', 'a', 'jalisco', 'no', 'hay', 'vuelta', 'atrás', 'siempre', 'estaré', 'aquí', 'firme', 'y', 'sin', 'titubeos', 'dispuesto', 'a', 'enfrentar', 'a', 'los', 'malos', 'gobiernos', 'naranjas', 'juntos', 'construiremos', 'un', 'jalisco', 'mejor']"
35,lomelí denuncia insensibilidad de lemus hacia grupos vulnerables en guadalajara y regidores de,"['lomelí', 'denuncia', 'insensibilidad', 'de', 'lemus', 'hacia', 'grupos', 'vulnerables', 'en', 'guadalajara', 'y', 'regidores', 'de']"
36,solamente sumando esfuerzos se puede lograr el objetivo de transformar jalisco me siento muy agradecido con el gran recibimiento y las muestras de apoyo que nos hicieron vecinas y vecinos del parque el refugio la gente pide un cambio se ve y se siente,"['solamente', 'sumando', 'esfuerzos', 'se', 'puede', 'lograr', 'el', 'objetivo', 'de', 'transformar', 'jalisco', 'me', 'siento', 'muy', 'agradecido', 'con', 'el', 'gran', 'recibimiento', 'y', 'las', 'muestras', 'de', 'apoyo', 'que', 'nos', 'hicieron', 'vecinas', 'y', 'vecinos', 'del', 'parque', 'el', 'refugio', 'la', 'gente', 'pide', 'un', 'cambio', 'se', 've', 'y', 'se', 'siente']"
37,es hora de abrir los ojos mientras el actual alcalde de guadalajara se enfoca en sus intereses nosotros las y los regidores de morena estamos aquí para escuchar entender y trabajar en soluciones reales para los problemas de nuestra ciudad guadalajara y jalisco merecen una,"['es', 'hora', 'de', 'abrir', 'los', 'ojos', 'mientras', 'el', 'actual', 'alcalde', 'de', 'guadalajara', 'se', 'enfoca', 'en', 'sus', 'intereses', 'nosotros', 'las', 'y', 'los', 'regidores', 'de', 'morena', 'estamos', 'aquí', 'para', 'escuchar', 'entender', 'y', 'trabajar', 'en', 'soluciones', 'reales', 'para', 'los', 'problemas', 'de', 'nuestra', 'ciudad', 'guadalajara', 'y', 'jalisco', 'merecen', 'una']"
38,sabías que pagó 25 millones de pesos a,"['sabías', 'que', 'pagó', '25', 'millones', 'de', 'pesos', 'a']"
39,hoy nos acompañan en nuestra usuarios del centro de atención metropolitana integral para una vida digna con discapacidad ceamivida a quienes con el uso de la fuerza pública se les impidió el acceso al salón de pleno el martes pasado durante la sesión de,"['hoy', 'nos', 'acompañan', 'en', 'nuestra', 'usuarios', 'del', 'centro', 'de', 'atención', 'metropolitana', 'integral', 'para', 'una', 'vida', 'digna', 'con', 'discapacidad', 'ceamivida', 'a', 'quienes', 'con', 'el', 'uso', 'de', 'la', 'fuerza', 'pública', 'se', 'les', 'impidió', 'el', 'acceso', 'al', 'salón', 'de', 'pleno', 'el', 'martes', 'pasado', 'durante', 'la', 'sesión', 'de']"
40,hace una semana en este mismo espacio realizamos un análisis de los dos años de gestión del gobierno de pablo lemus y evidenciamos que en este periodo lo que más ha prevalecido es la corrupción la impunidad la simulación el engaño la superficialidad y la ineptitud,"['hace', 'una', 'semana', 'en', 'este', 'mismo', 'espacio', 'realizamos', 'un', 'análisis', 'de', 'los', 'dos', 'años', 'de', 'gestión', 'del', 'gobierno', 'de', 'pablo', 'lemus', 'y', 'evidenciamos', 'que', 'en', 'este', 'periodo', 'lo', 'que', 'más', 'ha', 'prevalecido', 'es', 'la', 'corrupción', 'la', 'impunidad', 'la', 'simulación', 'el', 'engaño', 'la', 'superficialidad', 'y', 'la', 'ineptitud']"
41,las y los regidores de morena en guadalajara presentamos una denuncia ante la fiscalía especializada en combate a la corrupción por la negligencia que la contraloría ciudadana de este municipio ha tenido para investigar los actos de corrupción que hemos expuesto reiteradamente,"['las', 'y', 'los', 'regidores', 'de', 'morena', 'en', 'guadalajara', 'presentamos', 'una', 'denuncia', 'ante', 'la', 'fiscalía', 'especializada', 'en', 'combate', 'a', 'la', 'corrupción', 'por', 'la', 'negligencia', 'que', 'la', 'contraloría', 'ciudadana', 'de', 'este', 'municipio', 'ha', 'tenido', 'para', 'investigar', 'los', 'actos', 'de', 'corrupción', 'que', 'hemos', 'expuesto', 'reiteradamente']"
42,esta transformación está avanzando en todo el país y ya nadie la detiene es el momento de que se escuche la voz de jalisco y de quienes queremos un estado de bienestar tranquilidad y prosperidad en 2024 nuestro destino está en nuestras manos,"['esta', 'transformación', 'está', 'avanzando', 'en', 'todo', 'el', 'país', 'y', 'ya', 'nadie', 'la', 'detiene', 'es', 'el', 'momento', 'de', 'que', 'se', 'escuche', 'la', 'voz', 'de', 'jalisco', 'y', 'de', 'quienes', 'queremos', 'un', 'estado', 'de', 'bienestar', 'tranquilidad', 'y', 'prosperidad', 'en', '2024', 'nuestro', 'destino', 'está', 'en', 'nuestras', 'manos']"
