,texto,tokens,views
181,ya disfrutaste del videomapping,"['ya', 'disfrutaste', 'del', 'videomapping']",2810
182,quién más es la tía que reparte el pastel,"['quién', 'más', 'es', 'la', 'tía', 'que', 'reparte', 'el', 'pastel']",4167
183,volver a zapopan siempre es una dicha gracias por este emotivo recibimiento vamos por más,"['volver', 'a', 'zapopan', 'siempre', 'es', 'una', 'dicha', 'gracias', 'por', 'este', 'emotivo', 'recibimiento', 'vamos', 'por', 'más']",30K
184,arrancamos con todo la séptima edición del torneo t21 fútbol down,"['arrancamos', 'con', 'todo', 'la', 'séptima', 'edición', 'del', 'torneo', 't21', 'fútbol', 'down']",10.5K
185,chequen la técnica para tirar el penal,"['chequen', 'la', 'técnica', 'para', 'tirar', 'el', 'penal']",8223
186,todas y todos podemos construir una mejor ciudad ánimo guadalajara,"['todas', 'y', 'todos', 'podemos', 'construir', 'una', 'mejor', 'ciudad', 'ánimo', 'guadalajara']",6997
187,cuánto tiempo tienes sin venir al centro histórico de guadalajara,"['cuánto', 'tiempo', 'tienes', 'sin', 'venir', 'al', 'centro', 'histórico', 'de', 'guadalajara']",2594
188,hoy celebremos el día municipal del tejuino,"['hoy', 'celebremos', 'el', 'día', 'municipal', 'del', 'tejuino']",27.6K
189,día del clásico nacional,"['día', 'del', 'clásico', 'nacional']",3676
190,nos vemos el domingo,"['nos', 'vemos', 'el', 'domingo']",203.5K
191,les presentamos el primer prototipo de papelera inteligente y que es completamente amigable con el,"['les', 'presentamos', 'el', 'primer', 'prototipo', 'de', 'papelera', 'inteligente', 'y', 'que', 'es', 'completamente', 'amigable', 'con', 'el']",273.5K
192,me dio mucho gusto acompañar al en el anuncio oficial de su próxima pelea el 6 de mayo en el estadio,"['me', 'dio', 'mucho', 'gusto', 'acompañar', 'al', 'en', 'el', 'anuncio', 'oficial', 'de', 'su', 'próxima', 'pelea', 'el', '6', 'de', 'mayo', 'en', 'el', 'estadio']",6685
193,un óscar más para guillermo del toro lo hizo de nuevo nuestro gran orgullo tapatío ánimo,"['un', 'óscar', 'más', 'para', 'guillermo', 'del', 'toro', 'lo', 'hizo', 'de', 'nuevo', 'nuestro', 'gran', 'orgullo', 'tapatío', 'ánimo']",4725
194,todo quedó muy rico,"['todo', 'quedó', 'muy', 'rico']",15K
195,les presento la nueva tecnología para los supermercados que conocimos en expo antad,"['les', 'presento', 'la', 'nueva', 'tecnología', 'para', 'los', 'supermercados', 'que', 'conocimos', 'en', 'expo', 'antad']",1.1M
196,,[],4688
197,nuestro compromiso es claro al término de la administración no habrá ninguna calle de tierra en guadalajara,"['nuestro', 'compromiso', 'es', 'claro', 'al', 'término', 'de', 'la', 'administración', 'no', 'habrá', 'ninguna', 'calle', 'de', 'tierra', 'en', 'guadalajara']",574.2K
198,todo mi reconocimiento a todos los perritos que forman parte de las brigadas de,"['todo', 'mi', 'reconocimiento', 'a', 'todos', 'los', 'perritos', 'que', 'forman', 'parte', 'de', 'las', 'brigadas', 'de']",5061
199,qué bonita es guadalajara créditos cheche olguín y sonidos y movimientos de méxico,"['qué', 'bonita', 'es', 'guadalajara', 'créditos', 'cheche', 'olguín', 'y', 'sonidos', 'y', 'movimientos', 'de', 'méxico']",85.6K
200,ya tienen su foto con el charro,"['ya', 'tienen', 'su', 'foto', 'con', 'el', 'charro']",9568
201,felicidades llenas de orgullo a todo,"['felicidades', 'llenas', 'de', 'orgullo', 'a', 'todo']",92.3K
