,texto,tokens
66,gracias apoyo al 100ánimo,"['gracias', 'apoyo', 'al', '100ánimo']"
67,ánimo guadalajara muy bien mi futuro gobermuchas gracias por el apoyo ánimo,"['ánimo', 'guadalajara', 'muy', 'bien', 'mi', 'futuro', 'gobermuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
68,hijole no lo vi para tomarme la fotocómo crees ya nos veremos para tomarnos una foto ánimo,"['hijole', 'no', 'lo', 'vi', 'para', 'tomarme', 'la', 'fotocómo', 'crees', 'ya', 'nos', 'veremos', 'para', 'tomarnos', 'una', 'foto', 'ánimo']"
69,de lo mejor que tenemos en nuestro estado variedad de birotes saludos desde zapopantenemos una gran variedad de birotes como es el fleima o salado el dulce y el tradicional saludos,"['de', 'lo', 'mejor', 'que', 'tenemos', 'en', 'nuestro', 'estado', 'variedad', 'de', 'birotes', 'saludos', 'desde', 'zapopantenemos', 'una', 'gran', 'variedad', 'de', 'birotes', 'como', 'es', 'el', 'fleima', 'o', 'salado', 'el', 'dulce', 'y', 'el', 'tradicional', 'saludos']"
70,un pan dulce o un birote con café delicioso césar saludos,"['un', 'pan', 'dulce', 'o', 'un', 'birote', 'con', 'café', 'delicioso', 'césar', 'saludos']"
71,no pos un pancito y un cafecito ánimo mi futuro gobernadoruna dona o concha acompañada de un café o leche que delicioso la verdad saludos,"['no', 'pos', 'un', 'pancito', 'y', 'un', 'cafecito', 'ánimo', 'mi', 'futuro', 'gobernadoruna', 'dona', 'o', 'concha', 'acompañada', 'de', 'un', 'café', 'o', 'leche', 'que', 'delicioso', 'la', 'verdad', 'saludos']"
72,que no se pierda la integración familiar una institución muy importantelos eventos se deben disfrutar en familia saludos,"['que', 'no', 'se', 'pierda', 'la', 'integración', 'familiar', 'una', 'institución', 'muy', 'importantelos', 'eventos', 'se', 'deben', 'disfrutar', 'en', 'familia', 'saludos']"
73,animo lic a darle saludos y estamos listos para cuando diga para iniciar campaña rumbo a la gobernatura muchas gracias por el apoyo ánimo,"['animo', 'lic', 'a', 'darle', 'saludos', 'y', 'estamos', 'listos', 'para', 'cuando', 'diga', 'para', 'iniciar', 'campaña', 'rumbo', 'a', 'la', 'gobernatura', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
74,todo un señoron pablo lemus saludos saludos,"['todo', 'un', 'señoron', 'pablo', 'lemus', 'saludos', 'saludos']"
75,cuandohola fue el fin de semana pasado saludos,"['cuandohola', 'fue', 'el', 'fin', 'de', 'semana', 'pasado', 'saludos']"
76,bien poreso mi futuro gobernador ánimogracias por el apoyo y confianza ánimo,"['bien', 'poreso', 'mi', 'futuro', 'gobernador', 'ánimogracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
77,x2 siempre me pasaa poco no saludos,"['x2', 'siempre', 'me', 'pasaa', 'poco', 'no', 'saludos']"
78,onta mi futuro gobernador al 1000ánimo ricardo,"['onta', 'mi', 'futuro', 'gobernador', 'al', '1000ánimo', 'ricardo']"
79,saluden al próximo gobernadormuchas gracias por el apoyo ánimo,"['saluden', 'al', 'próximo', 'gobernadormuchas', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
80,es que quien puede resistirse a una deliciosa torta ahogadala verdad nadie se puede resistir a una deliciosa torta ahogada ánimo,"['es', 'que', 'quien', 'puede', 'resistirse', 'a', 'una', 'deliciosa', 'torta', 'ahogadala', 'verdad', 'nadie', 'se', 'puede', 'resistir', 'a', 'una', 'deliciosa', 'torta', 'ahogada', 'ánimo']"
81,,[]
82,ánimo jaliscoánimo,"['ánimo', 'jaliscoánimo']"
83,exelente gracias gracias gracias ánimo maría,"['exelente', 'gracias', 'gracias', 'gracias', 'ánimo', 'maría']"
84,saludossaludos,['saludossaludos']
85,sí admiración nuevas generaciones,"['sí', 'admiración', 'nuevas', 'generaciones']"
86,saludos silvia,"['saludos', 'silvia']"
87,ánimo,['ánimo']
88,gracias señor lemus por mostrando la forma excelente diasaludos,"['gracias', 'señor', 'lemus', 'por', 'mostrando', 'la', 'forma', 'excelente', 'diasaludos']"
89,sra lemus es rapidito y sin cafe,"['sra', 'lemus', 'es', 'rapidito', 'y', 'sin', 'cafe']"
90,alguien vio a la que se andaba cayendo en las escaleras,"['alguien', 'vio', 'a', 'la', 'que', 'se', 'andaba', 'cayendo', 'en', 'las', 'escaleras']"
