,texto,tokens,sentimiento
85,etzatlán está presente en el centro histórico de guadalajara etzatlan jalisco ,"['etzatlán', 'está', 'presente', 'en', 'el', 'centro', 'histórico', 'de', 'guadalajara', 'etzatlan', 'jalisco']",0.0
86,miren nada más el maravilloso regalo que me dio mi amigo juanma munguía regalo  ,"['miren', 'nada', 'más', 'el', 'maravilloso', 'regalo', 'que', 'me', 'dio', 'mi', 'amigo', 'juanma', 'munguía', 'regalo']",0.0
87,se prendió el cerro  en la inauguración de la colmena  balcones del 4 ánimo guadalajara baile ,"['se', 'prendió', 'el', 'cerro', 'en', 'la', 'inauguración', 'de', 'la', 'colmena', 'balcones', 'del', '4', 'ánimo', 'guadalajara', 'baile']",0.0
88,nuestro centro histórico emana belleza en cada rincón  centrohistorico pablolemus ,"['nuestro', 'centro', 'histórico', 'emana', 'belleza', 'en', 'cada', 'rincón', 'centrohistorico', 'pablolemus']",0.0
89,ánimo ya es viernes y el cuerpo lo sabe viernesyelcuerpolosabe viernes ,"['ánimo', 'ya', 'es', 'viernes', 'y', 'el', 'cuerpo', 'lo', 'sabe', 'viernesyelcuerpolosabe', 'viernes']",0.0
90, seguridad guadalajara ,"['seguridad', 'guadalajara']",0.0
91,diego y yo compartimos el mismo sueño y aspiración jalisco pablolemus ,"['diego', 'y', 'yo', 'compartimos', 'el', 'mismo', 'sueño', 'y', 'aspiración', 'jalisco', 'pablolemus']",0.0
92,en la expo centros históricos de jalisco jalisco al centro me compré una pulsera hecha por artesanos de tlaquepaque tlaquepaque jalisco ,"['en', 'la', 'expo', 'centros', 'históricos', 'de', 'jalisco', 'jalisco', 'al', 'centro', 'me', 'compré', 'una', 'pulsera', 'hecha', 'por', 'artesanos', 'de', 'tlaquepaque', 'tlaquepaque', 'jalisco']",0.0
93,los invito a ver el el trailer del segundo capítulo de la docuserie un corazón bien tapatío jalisco documental ,"['los', 'invito', 'a', 'ver', 'el', 'el', 'trailer', 'del', 'segundo', 'capítulo', 'de', 'la', 'docuserie', 'un', 'corazón', 'bien', 'tapatío', 'jalisco', 'documental']",0.0
94,siempre que regreso a zapopan agradecido late mi corazón de emoción ,"['siempre', 'que', 'regreso', 'a', 'zapopan', 'agradecido', 'late', 'mi', 'corazón', 'de', 'emoción']",0.0
95,gracias  por todo su cariño  somos un gran equipo  grateful agradecido ,"['gracias', 'por', 'todo', 'su', 'cariño', 'somos', 'un', 'gran', 'equipo', 'grateful', 'agradecido']",0.4588
