,texto,tokens,Coments,RT’s,Likes,Views
31,gracias por ser parte de esta historia. ¡les quiero mucho! #amorconamorsepaga ,"['gracias', 'por', 'ser', 'parte', 'de', 'esta', 'historia', 'les', 'quiero', 'mucho', 'amorconamorsepaga']",43,2,1,1442
32,¡estamos listos para apoyar al rebaño sagrado! hoy remontamos en casa y pasamos a la semifinal. ¡arriba las #chivas !,"['estamos', 'listos', 'para', 'apoyar', 'al', 'rebaño', 'sagrado', 'hoy', 'remontamos', 'en', 'casa', 'y', 'pasamos', 'a', 'la', 'semifinal', 'arriba', 'las', 'chivas']",118,10,0,2460
33,"para ser un buen politico, hay que tenerle amor al pueblo. #politica ","['para', 'ser', 'un', 'buen', 'politico', 'hay', 'que', 'tenerle', 'amor', 'al', 'pueblo', 'politica']",82,12,0,1681
34,"¡con #morena , jalisco va a cambiar!","['con', 'morena', 'jalisco', 'va', 'a', 'cambiar']",262,30,8,3108
35,"vamos por la unidad, la paz y la reconciliación. #morenava ","['vamos', 'por', 'la', 'unidad', 'la', 'paz', 'y', 'la', 'reconciliación', 'morenava']",61,4,1,1076
36,mañana el gobierno de lemus y movimiento ciudadano van a autorizar un atraco más para #guadalajara ,"['mañana', 'el', 'gobierno', 'de', 'lemus', 'y', 'movimiento', 'ciudadano', 'van', 'a', 'autorizar', 'un', 'atraco', 'más', 'para', 'guadalajara']",1030,197,33,13700
37,recupérate presidente andrés manuel lópez obrador.  un abrazo desde jalisco. 🫶 #andresmanuellopezobrador ,"['recupérate', 'presidente', 'andrés', 'manuel', 'lópez', 'obrador', 'un', 'abrazo', 'desde', 'jalisco', 'andresmanuellopezobrador']",141,10,0,3148
38,"¡hasta barbie lo sabe; el cambio llegará a jalisco, esto se va poner muy bueno! #drcarloslomeli ","['hasta', 'barbie', 'lo', 'sabe', 'el', 'cambio', 'llegará', 'a', 'jalisco', 'esto', 'se', 'va', 'poner', 'muy', 'bueno', 'drcarloslomeli']",64,7,0,2965
39,ya todos lo saben ¡morena es el cambio! ❤️ #drcarloslomeli ,"['ya', 'todos', 'lo', 'saben', 'morena', 'es', 'el', 'cambio', 'drcarloslomeli']",57,10,1,1564
40,"así los gobiernos 🍊, construyen obras caras y chafas 😡 #drcarloslomeli ","['así', 'los', 'gobiernos', 'construyen', 'obras', 'caras', 'y', 'chafas', 'drcarloslomeli']",579,84,33,20500
41,fue un gusto! 😄 #drcarloslomeli ,"['fue', 'un', 'gusto', 'drcarloslomeli']",301,72,11,1033
42,"nos agarró la lluvia, pero seguimos firmes celebrando la soberanía energética. #drcarloslomeli ","['nos', 'agarró', 'la', 'lluvia', 'pero', 'seguimos', 'firmes', 'celebrando', 'la', 'soberanía', 'energética', 'drcarloslomeli']",40,3,1,21500
43,"con morena en el 2024, afinación sí, verificación no. #drcarloslomeli ","['con', 'morena', 'en', 'el', '2024', 'afinación', 'sí', 'verificación', 'no', 'drcarloslomeli']",1605,118,39,26400
44,es un gusto tenerte en jalisco @mario delgado 👏🏻,"['es', 'un', 'gusto', 'tenerte', 'en', 'jalisco', 'mario', 'delgado']",1020,211,30,1775
45,y por muchos años más! 🫶🏻 #drcarloslomeli ,"['y', 'por', 'muchos', 'años', 'más', 'drcarloslomeli']",76,18,4,976
46,tenemos al mejor 👌🏻 #drcarloslomeli ,"['tenemos', 'al', 'mejor', 'drcarloslomeli']",35,2,0,1586
47,😃🫶🏻 #drcarloslomeli ,['drcarloslomeli'],87,4,0,1493
48,jalisco necesita una transformación. #guadalajara ,"['jalisco', 'necesita', 'una', 'transformación', 'guadalajara']",72,5,3,965
49,delicioso! 😋 #drcarloslomeli ,"['delicioso', 'drcarloslomeli']",75,3,0,2274
50,viernes de alianza patriótica!!! 🙌🏻 #drcarloslomeli ,"['viernes', 'de', 'alianza', 'patriótica', 'drcarloslomeli']",72,5,0,907
51,otra vez se quema el bosque de la #primavera 🙁,"['otra', 'vez', 'se', 'quema', 'el', 'bosque', 'de', 'la', 'primavera']",46,2,0,38800
52,😃 #drcarloslomeli ,['drcarloslomeli'],57,4,3,1178
53,🎥 #drcarloslomeli ,['drcarloslomeli'],112,8,4,2351
54,🎠 #drcarloslomeli ,['drcarloslomeli'],6325,736,22,178500
55,"gracias por acompañarnos el día de hoy, y claro que #siguelópez 🫶🏻","['gracias', 'por', 'acompañarnos', 'el', 'día', 'de', 'hoy', 'y', 'claro', 'que', 'siguelópez']",865,60,32,21900
56,"no me gusta, me encanta!!! #drcarloslomeli ","['no', 'me', 'gusta', 'me', 'encanta', 'drcarloslomeli']",67,3,0,1624
57,es un honor estar con obrador! 🙌🏻 #drcarloslomeli ,"['es', 'un', 'honor', 'estar', 'con', 'obrador', 'drcarloslomeli']",298,13,6,3607
58,es que si está muy buena la canción 😅 #drcarloslomeli ,"['es', 'que', 'si', 'está', 'muy', 'buena', 'la', 'canción', 'drcarloslomeli']",74,4,0,1871
59,¡feliz cumple 481 guadalajara querida! #sanvalentin ,"['feliz', 'cumple', '481', 'guadalajara', 'querida', 'sanvalentin']",34,0,1,1340
60,que mejor día para inaugurar nuestro tiktok que este 14 de febrero! #sanvalentin ,"['que', 'mejor', 'día', 'para', 'inaugurar', 'nuestro', 'tiktok', 'que', 'este', '14', 'de', 'febrero', 'sanvalentin']",60,3,2,1480
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
