"tiktok-1as5cen-DivWrapper href","tiktok-41hm0z src","tiktok-dennn6-DivTimeTag","tiktok-j2a19r-SpanText","ejg0rhn6 href","tiktok-1p6dp51-StrongText","ejg0rhn6 href 2","tiktok-1p6dp51-StrongText 2","ejg0rhn6 href 3","tiktok-1p6dp51-StrongText 3","ejg0rhn6 href 4","tiktok-1p6dp51-StrongText 4","ejg0rhn6 href 5","tiktok-1p6dp51-StrongText 5","tiktok-22xkqc-StyledLink href","tiktok-1zpj2q-ImgAvatar src","tiktok-2zn17v-PUniqueId","tiktok-ws4x78-StrongVideoCount","ejg0rhn6 href 6","tiktok-1p6dp51-StrongText 6"
"https://www.tiktok.com/@nain_luquinr/video/7287313844878200069","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oE97AbzFnB4le3hEAhDvb0EVIBJIf13QKcRbuA?x-expires=1697673600&x-signature=8LvxXAhTKX6oGZaEh%2FvIZmty7uk%3D","10-7","́xico","https://www.tiktok.com/tag/esclaudia","#EsClaudia","https://www.tiktok.com/tag/4t","#4T","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/me","#Me","https://www.tiktok.com/tag/jalisco","#Jalisco","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","222","",""
"https://www.tiktok.com/@rodrigorivasuribe/video/7272505723546815749","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b9868f1fa7f442f39726031fad6ec970_1693262197?x-expires=1697673600&x-signature=VW7wy%2FCh7YAh32d2FP5pqutZEas%3D","8-28","Niega","https://www.tiktok.com/@drcarloslomeli","@Dr. Carlos Lomelí","https://www.tiktok.com/@claudiasheinbaum","@Claudia Sheinbaum Pardo","https://www.tiktok.com/tag/noticias","#Noticias","https://www.tiktok.com/tag/morena","#Morena","https://www.tiktok.com/tag/pol%C3%ADtica","#Política","https://www.tiktok.com/@rodrigorivasuribe","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7261108917260943366~c5_100x100.jpeg?x-expires=1697673600&x-signature=44F%2FqWX138cRM0LZ6sS4Fg9Gz8Q%3D","rodrigorivasuribe","4530","https://www.tiktok.com/tag/claudiasheimbaum","#ClaudiaSheimbaum"
"https://www.tiktok.com/@nain_luquinr/video/7278879822875495685","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oEJBAWbAA8enxSKQBSPRqCbVEWBeDxDlQEgIFS?x-expires=1697673600&x-signature=GeKTgHoF0LsUhtOnZA0dLiGKBLM%3D","9-14","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","25.5K","",""
"https://www.tiktok.com/@libre.medio.digit/video/7284326034802101510","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ogtcnuyDxtIyFyflAyAQRPy8TboPyIEJBneBQm?x-expires=1697673600&x-signature=olCrDT%2FFUEq45ap3Gr%2FyH9IimNw%3D","9-29","El Morenistas y Regidor por Guadalajara, el Dr. Carlos Lomelí","https://www.tiktok.com/@drcarloslomeli","@Dr. Carlos Lomelí","https://www.tiktok.com/tag/jalisco","#jalisco","https://www.tiktok.com/tag/morenajalisco","#morenajalisco","https://www.tiktok.com/tag/morena","#morena","https://www.tiktok.com/tag/4t","#4T","https://www.tiktok.com/@libre.medio.digit","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7284322281168961541~c5_100x100.jpeg?x-expires=1697673600&x-signature=6ldEAcAok3ALb3O9tKZZL7K%2F9hM%3D","libre.medio.digit","523","https://www.tiktok.com/tag/cuartatransformacion","#CuartaTransformacion"
"https://www.tiktok.com/@filosofia_con_3_puntos/video/7283884013155044614","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMQR1JlAYWni228rnBIP3FeQ1WBBKQbZDGENVe?x-expires=1697673600&x-signature=aRkx0RI9gU4mpJ1cYmdDeu0Trdo%3D","9-28","El doc","https://www.tiktok.com/tag/carloslomeli","#carloslomeli","https://www.tiktok.com/tag/claudiasheinbaum","#claudiasheinbaum","https://www.tiktok.com/tag/amlo","#amlo","https://www.tiktok.com/tag/morena","#morena","https://www.tiktok.com/tag/elecciones2024","#elecciones2024","https://www.tiktok.com/@filosofia_con_3_puntos","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9c4abf9e34253df65f04c4e732d7a141~c5_100x100.jpeg?x-expires=1697673600&x-signature=xkmwCCyR1qtUMec%2Bf0Ha%2BErBRqk%3D","filosofia_con_3_puntos","8574","https://www.tiktok.com/tag/gobernadorjalisco","#gobernadorjalisco"
"https://www.tiktok.com/@isabellacastrejon/video/7095789718939421958","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/98d4d59f9024438b88b189e325f729da?x-expires=1697673600&x-signature=tgdGz%2B5OLxz7m4EuPcRnFL%2BJAp4%3D","2022-5-9","👍💕👌🏼☺️","https://www.tiktok.com/@drcarloslimon","@drcarloslimon","https://www.tiktok.com/tag/fabricademu%C3%B1ecas","#fabricademuñecas","","","","","","","https://www.tiktok.com/@isabellacastrejon","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1655114222356485~c5_100x100.jpeg?x-expires=1697673600&x-signature=WCRIBJSM%2FicISAWgxthtt93B1Nw%3D","isabellacastrejon","4156","",""
"https://www.tiktok.com/@drcarlosbarragan/video/7263974503024282886","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d1a7582069d94257bbd4597028179e16_1691275866?x-expires=1697673600&x-signature=p%2BCu05xVJ758VhKN8fm0kePR%2Fus%3D","8-5","Respuesta a","https://www.tiktok.com/@maziel_rolque","@Maziel Rolque","","","","","","","","","https://www.tiktok.com/@drcarlosbarragan","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e87c3f4d98db1d3d130ffa7f500db765~c5_100x100.jpeg?x-expires=1697673600&x-signature=8hZ4WjfxnBS8KEaQANxNCTsrnPo%3D","drcarlosbarragan","2110","",""
"https://www.tiktok.com/@carloslomeli6/video/7287424084814597382","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o8nIohMAICHEyAINixmksRZ5IRSzCAfukDwgNx?x-expires=1697673600&x-signature=0duN3vpyfgqtbaQ3JsQ51hF%2FdRE%3D","10-7","Mi hermoso colima","https://www.tiktok.com/tag/colima","#colima","https://www.tiktok.com/tag/colimacolima","#colimacolima","","","","","","","https://www.tiktok.com/@carloslomeli6","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/2efa9a8e17892445fc74d16abb1cd1cf~c5_100x100.jpeg?x-expires=1697673600&x-signature=5BwakOpxh6F8HEYOzho8eRW4GIU%3D","carloslomeli6","36.4K","",""
"https://www.tiktok.com/@nathrouse/video/7121786439389465861","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/44cf9639b11f4c4691936dfb29c8d53a?x-expires=1697673600&x-signature=kVkBjFHWPIuvnBLjzlHvaIv%2FNsA%3D","2022-7-18","Dr. Lomeli 💘","","","","","","","","","","","https://www.tiktok.com/@nathrouse","https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/smg9bc786dae6535b5a2b81048b1db688a2.jpeg?x-expires=1697673600&x-signature=sqWzGf0W9czthUuTPn3KCDbyD34%3D","nathrouse","369","",""
"https://www.tiktok.com/@dr.dominguezcirujano/video/7285140935032245510","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/o0DFFMPf5w6eaKQvCGfQAEDRhBMhAkE2AUBsfH?x-expires=1697673600&x-signature=Gw2hzKq0EQ%2BIhxBb7k91IVM9Czw%3D","10-1","","https://www.tiktok.com/tag/guatitadelantal","#guatitadelantal","https://www.tiktok.com/tag/guatitadelantalchile","#guatitadelantalchile","https://www.tiktok.com/tag/lipoabdominoplast%C3%ADa","#lipoabdominoplastía","https://www.tiktok.com/tag/cirug%C3%ADaest%C3%A9tica","#cirugíaestética","https://www.tiktok.com/tag/cirug%C3%ADapl%C3%A1stica","#cirugíaplástica","https://www.tiktok.com/@dr.dominguezcirujano","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5f56687eb7a8213cfe03482c84f1df21~c5_100x100.jpeg?x-expires=1697673600&x-signature=3LL8PQKoHEwb0JCZKi4HB8oGuBY%3D","dr.dominguezcirujano","2956","",""
"https://www.tiktok.com/@sofia_solorza/video/7273496347339279622","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/53c1264db21a47809193dc25955a46b7_1693492843?x-expires=1697673600&x-signature=UhJ9dMttiN8Sa1u6Xn%2BlBFgrg1k%3D","8-31","Recomendadisimo","https://www.tiktok.com/tag/savvy","#savvy","https://www.tiktok.com/tag/drcarlosjaramillo","#drcarlosjaramillo","","","","","","","https://www.tiktok.com/@sofia_solorza","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c9e4e568408d2e37f8d419e4fab06d65~c5_100x100.jpeg?x-expires=1697673600&x-signature=EgaOHJ5S947UqHMdx3lu45WqKP4%3D","sofia_solorza","1783","",""
"https://www.tiktok.com/@drcarloslomeli/video/7270151718568987909","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oYqQYexmAjREMkJkRlKBByb9HDQUIB8kevg5bn?x-expires=1697673600&x-signature=PIKCfPicJQSOnC8lNr1Z%2BLgoB4I%3D","8-22","Mientras Movimiento Ciudadano y el Gobierno dd Guadalara quieren más impuestos, en","https://www.tiktok.com/tag/morena","#morena","","","","","","","","","https://www.tiktok.com/@drcarloslomeli","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ceea4972de9988a085b4e9741adb488~c5_100x100.jpeg?x-expires=1697587200&x-signature=EdcTIOxNRDerL8i2qfkKRzN5lxY%3D","drcarloslomeli","902","",""
"https://www.tiktok.com/@carloslomeli8/video/7186373117697199365","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMNxIHIaCqz3S7yhtIfAcEYEgDRhIoACZJBk8A?x-expires=1697673600&x-signature=iW2Mik4qUymXbP08pZA%2BADuagzo%3D","1-8","😍😂😂😂😂😘","","","","","","","","","","","https://www.tiktok.com/@carloslomeli8","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1655096181791750~c5_100x100.jpeg?x-expires=1697673600&x-signature=z9gERQ7NzBUQxWTou95VNqgRRLs%3D","carloslomeli8","1220","",""
"https://www.tiktok.com/@nain_luquinr/video/7268391806834969862","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oIeRnDQEQhkDHFE7gB9zbJ8os3ADBBboreAMMN?x-expires=1697673600&x-signature=qxwHDLchu8WFmK3ATtknGasgws8%3D","8-17","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","743","",""
"https://www.tiktok.com/@nain_luquinr/video/7279064439167470854","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ocIlIlbEwBGreQRXfdQAI8DB23nW3BBsvbOHRJ?x-expires=1697673600&x-signature=nbF%2FlyxD0nT6PnEaKJVLNREu0PA%3D","9-15","","","","","","","","","","","","https://www.tiktok.com/@nain_luquinr","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b975b8de42e43a958b10a9233d23e97~c5_100x100.jpeg?x-expires=1697673600&x-signature=M54si9mcb14DMpQsXfoBqMWkHew%3D","nain_luquinr","2468","",""
