texto,comentarios,repost,likes,views
"Guadalajara es el alma de Jalisco y el corazón de México: el centro de una zona metropolitana con mucho potencial, pero también con muchos problemas y desigualdades.

Recuperemos el orgullo que nos da ser de la Perla de Occidente.",2,26,40,620
"Hoy quiero felicitar a nuestro compañero del movimiento, @RicardoMonrealA
, en su día especial. Tu dedicación y compromiso con México y Morena son un ejemplo para todos nosotros. ¡Que este nuevo año te traiga más éxitos y logros en nuestra lucha por la transformación! Sigamos trabajando juntos por un México más fuerte y justo. ¡Feliz cumpleaños, Ricardo!",2,27,60,805
En unos minutos se llevará a cabo el segundo simulacro nacional 2023. Es vital estar preparados y saber cómo actuar en caso de un sismo. Tu seguridad y la de tus seres queridos son lo más importante. ¡Participa y tomemos juntos medidas de precaución para cuidarnos entre todos!,1,23,84,1000
"Cuando se trata de defender a Jalisco, no hay vuelta atrás. Siempre estaré aquí, firme y sin titubeos, dispuesto a enfrentar a los malos gobiernos naranjas. ¡Juntos construiremos un Jalisco mejor!",77,28,108,7000
"Lomelí denuncia insensibilidad de Lemus hacia grupos vulnerables en Guadalajara. @DrCarlosLomeli
 y regidores de 
@GuadalajaraGob
 denuncian la falta de apoyo de 
@PabloLemusN
 hacia personas con discapacidad del Centro de Atención Metropolitana Integral.",1,3,20,1000
Solamente sumando esfuerzos se puede lograr el objetivo de transformar Jalisco. Me siento muy agradecido con el gran recibimiento y las muestras de apoyo que nos hicieron vecinas y vecinos del parque El Refugio. La gente pide un cambio ¡se ve y se siente!,2,4,33,641
"Es hora de abrir los ojos: mientras el actual alcalde de Guadalajara se enfoca en sus intereses, nosotros, las y los regidores de Morena, estamos aquí para escuchar, entender y trabajar en soluciones reales para los problemas de nuestra ciudad. ¡Guadalajara y Jalisco merecen una verdadera transformación!",13,10,45,1000
"¿Sabías que @JaliscoTV
 pagó 2.5 millones de pesos a #INDATCOM? La empresa favorita de publicidad de #MovimientoCiudadano, para hacer una campaña en donde se pagó una pauta para promocionar una nota falsa de un medio nacional que atacaba a 
@Claudiashein
 y 
@DrCarlosLomeli
.",4,8,26,1000
"Estimado @jcentresemana
 lamento profundamente el sensible fallecimiento de tu señora madre. 

Toda mi solidaridad en estos momentos tan difíciles.",13,,,451
¡Buenos días Jalisco! Hoy es el mejor momento para empezar con toda la actitud para seguir mejorando como personas y enforcarnos en nuestras metas por el Jalisco que queremos.,4,1,33,907
"Con tu mano y con mi mano, juntos podemos construir el Jalisco que nos merecemos.

¡Vamos adelante!",24,12,59,2000
Hoy conmemoramos nuestra independencia y renovamos nuestro compromiso con un México que avance hacia la transformación y la igualdad. ¡Viva México!,2,5,27,595
"Hoy es un día muy especial para las y los mexicanos. El 15 de septiembre nos recuerda que la lucha por la independencia es parte de nuestro ADN como nación. 

Así como nuestros héroes lucharon por liberarnos del yugo extranjero, hoy continuamos luchando por una independencia de la corrupción, la desigualdad y la injusticia. 

La #4T es la continuación de ese espíritu de lucha, y juntos estamos construyendo un México más libre y justo. ¡Viva México! ¡Viva Jalisco!",3,4,30,1000
"Con tu mano y con mi mano, juntos podemos construir el Jalisco que nos merecemos.

¡Vamos adelante!",4,5,29,499
"¡Hoy celebramos un paso histórico para el Estado de México! 

La Mtra. Delfina Gómez ha tomado protesta como gobernadora, cumpliendo el sueño de miles de mexiquenses que anhelaban un cambio real. Su liderazgo y compromiso son inspiración para todos nosotros en Jalisco  ¡Felicidades, 
@delfinagomeza
! ¡SÍ SE PUDO!",2,31,25,869
"El día de hoy tuve la oportunidad de acompañar a mi amigo @michel_profe
 en su segundo informe como presidente municipal de Puerto Vallarta. 

Desde el inicio de su administración, el Profe ha demostrado su compromiso con la gente, al poner al centro de su gobierno, los principios que definen a la #CuartaTransformación. ¡Enhorabuena, Profe!",6,33,,873
Los lonches del Mercado Corona son una joya culinaria en Guadalajara. ¿Ya los probaste? Les prometo que les van a encantar.,2,1,28,471
"A lo largo de mis experiencias, he presenciado el genuino interés y determinación de líderes como  
@Claudiashein
 hacia los desafíos que enfrenta México. Su carácter comprensivo y su firmeza son evidentes cuando identifica a Jalisco como fundamental en la edificación de una nación más grande. Su enfoque resuena profundamente conmigo. 

Comparto la creencia de que es vital trabajar codo a codo, siempre con el propósito de forjar un México y un Jalisco más sólidos y unidos.",46,12,63,7000
"Nos merecemos un gobierno que sí pueda cumplir su palabra.

Les comparto esta reflexión:",9,8,40,1000
