,texto,tokens,sentimiento
33,estuve con las y los jóvenes que participaron en el tercer encuentro de autoridades jóvenes en ciudad de méxico me da muchísimo gusto ver que el relevo generacional se ha construido con compromiso y entusiasmo para seguir transformando nuestro querido méxico y chiapas,"['estuve', 'con', 'las', 'y', 'los', 'jóvenes', 'que', 'participaron', 'en', 'el', 'tercer', 'encuentro', 'de', 'autoridades', 'jóvenes', 'en', 'ciudad', 'de', 'méxico', 'me', 'da', 'muchísimo', 'gusto', 'ver', 'que', 'el', 'relevo', 'generacional', 'se', 'ha', 'construido', 'con', 'compromiso', 'y', 'entusiasmo', 'para', 'seguir', 'transformando', 'nuestro', 'querido', 'méxico', 'y', 'chiapas']",0.34
36,hoy en el  aprobamos el nombramiento de la doctora celia maya como consejera de la judicatura federal estoy convencida de que desempeñará un gran trabajo con responsabilidad y dedicación enhorabuena,"['hoy', 'en', 'el', 'aprobamos', 'el', 'nombramiento', 'de', 'la', 'doctora', 'celia', 'maya', 'como', 'consejera', 'de', 'la', 'judicatura', 'federal', 'estoy', 'convencida', 'de', 'que', 'desempeñará', 'un', 'gran', 'trabajo', 'con', 'responsabilidad', 'y', 'dedicación', 'enhorabuena']",0.0
39,la dra  regresa a nuestro amado estado y estamos muy contentos con su visita en compañía de toño santos preparamos todo para celebrar su nombramiento como coordinadora de la defensa de la cuarta transformación,"['la', 'dra', 'regresa', 'a', 'nuestro', 'amado', 'estado', 'y', 'estamos', 'muy', 'contentos', 'con', 'su', 'visita', 'en', 'compañía', 'de', 'toño', 'santos', 'preparamos', 'todo', 'para', 'celebrar', 'su', 'nombramiento', 'como', 'coordinadora', 'de', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación']",0.0
42,en el marco de acciones por el día internacional de la mujer indígena que en chiapas encabeza el gobernador rutilio escandón cadenas reconozco la labor disciplinada y amorosa de las mujeres en méxico particularmente las indígenas de chiapas mi casa para el que trabajamos todos los días hombro con hombro construyendo la nación humana y generosa que en los más altos ideales encabeza el presidente de todas y todos los mexicanos andres manuel lópez obrador,"['en', 'el', 'marco', 'de', 'acciones', 'por', 'el', 'día', 'internacional', 'de', 'la', 'mujer', 'indígena', 'que', 'en', 'chiapas', 'encabeza', 'el', 'gobernador', 'rutilio', 'escandón', 'cadenas', 'reconozco', 'la', 'labor', 'disciplinada', 'y', 'amorosa', 'de', 'las', 'mujeres', 'en', 'méxico', 'particularmente', 'las', 'indígenas', 'de', 'chiapas', 'mi', 'casa', 'para', 'el', 'que', 'trabajamos', 'todos', 'los', 'días', 'hombro', 'con', 'hombro', 'construyendo', 'la', 'nación', 'humana', 'y', 'generosa', 'que', 'en', 'los', 'más', 'altos', 'ideales', 'encabeza', 'el', 'presidente', 'de', 'todas', 'y', 'todos', 'los', 'mexicanos', 'andres', 'manuel', 'lópez', 'obrador']",0.0
45,lamento profundamente el sensible fallecimiento de mariano rosales hijo de nuestro amigo mariano rosales zuarth mi más sincero pésame a todos sus seres queridosque el amor de dios y el cariño de todos quienes conocimos a mariano sirva para encontrar la resignación ante tan irreparable pérdida,"['lamento', 'profundamente', 'el', 'sensible', 'fallecimiento', 'de', 'mariano', 'rosales', 'hijo', 'de', 'nuestro', 'amigo', 'mariano', 'rosales', 'zuarth', 'mi', 'más', 'sincero', 'pésame', 'a', 'todos', 'sus', 'seres', 'queridos', 'que', 'el', 'amor', 'de', 'dios', 'y', 'el', 'cariño', 'de', 'todos', 'quienes', 'conocimos', 'a', 'mariano', 'sirva', 'para', 'encontrar', 'la', 'resignación', 'ante', 'tan', 'irreparable', 'pérdida']",0.6124
48,con el orgullo de ser mexicanos acompañamos al gobernador  para dar el  celebramos la soberanía que reside en el pueblo de méxico hoy la unidad es la base para seguir transformando el proyecto de nación que encabeza nuestro presidente,"['con', 'el', 'orgullo', 'de', 'ser', 'mexicanos', 'acompañamos', 'al', 'gobernador', 'para', 'dar', 'el', 'celebramos', 'la', 'soberanía', 'que', 'reside', 'en', 'el', 'pueblo', 'de', 'méxico', 'hoy', 'la', 'unidad', 'es', 'la', 'base', 'para', 'seguir', 'transformando', 'el', 'proyecto', 'de', 'nación', 'que', 'encabeza', 'nuestro', 'presidente']",0.0
51,hoy y siempre portemos con dignidad y orgullo los colores y trajes de nuestro méxico que vivan nuestras fiestas patrias ,"['hoy', 'y', 'siempre', 'portemos', 'con', 'dignidad', 'y', 'orgullo', 'los', 'colores', 'y', 'trajes', 'de', 'nuestro', 'méxico', 'que', 'vivan', 'nuestras', 'fiestas', 'patrias']",0.3612
54,previo a las celebraciones de la noche patria tuve el gusto de saludar al principal dirigente de la cuarta transformación en nuestro estado mi amigo el gobernador dr  con quien intercambié opiniones sobre los históricos acontecimientos de nuestra anexión a méxico y el gran legado de las mujeres y hombres que nos dieron patria y libertad a quienes honramos desde lo más profundo de nuestro corazón hoy gritamos fuerte y claro que viva méxico ,"['previo', 'a', 'las', 'celebraciones', 'de', 'la', 'noche', 'patria', 'tuve', 'el', 'gusto', 'de', 'saludar', 'al', 'principal', 'dirigente', 'de', 'la', 'cuarta', 'transformación', 'en', 'nuestro', 'estado', 'mi', 'amigo', 'el', 'gobernador', 'dr', 'con', 'quien', 'intercambié', 'opiniones', 'sobre', 'los', 'históricos', 'acontecimientos', 'de', 'nuestra', 'anexión', 'a', 'méxico', 'y', 'el', 'gran', 'legado', 'de', 'las', 'mujeres', 'y', 'hombres', 'que', 'nos', 'dieron', 'patria', 'y', 'libertad', 'a', 'quienes', 'honramos', 'desde', 'lo', 'más', 'profundo', 'de', 'nuestro', 'corazón', 'hoy', 'gritamos', 'fuerte', 'y', 'claro', 'que', 'viva', 'méxico']",0.0
57,chiapas es el estado más mexicano porque nuestra historia marca un acto de voluntad propia que dio inicio en 1821 para consolidarse en 1824 con la anexión a méxico con ello dotamos a este hermoso país de bellezas naturales únicas en el mundo contamos con una gran cultura por su gastronomía incomparable por sus bellas tradiciones pero hablar de su gente es hablar de amor respeto hermandad y solidaridad estoy segura de que en 2024 haremos una gran fiesta para celebrar el bicentenario de la unión de las y los chiapanecos con el pueblo mexicano ,"['chiapas', 'es', 'el', 'estado', 'más', 'mexicano', 'porque', 'nuestra', 'historia', 'marca', 'un', 'acto', 'de', 'voluntad', 'propia', 'que', 'dio', 'inicio', 'en', '1821', 'para', 'consolidarse', 'en', '1824', 'con', 'la', 'anexión', 'a', 'méxico', 'con', 'ello', 'dotamos', 'a', 'este', 'hermoso', 'país', 'de', 'bellezas', 'naturales', 'únicas', 'en', 'el', 'mundo', 'contamos', 'con', 'una', 'gran', 'cultura', 'por', 'su', 'gastronomía', 'incomparable', 'por', 'sus', 'bellas', 'tradiciones', 'pero', 'hablar', 'de', 'su', 'gente', 'es', 'hablar', 'de', 'amor', 'respeto', 'hermandad', 'y', 'solidaridad', 'estoy', 'segura', 'de', 'que', 'en', '2024', 'haremos', 'una', 'gran', 'fiesta', 'para', 'celebrar', 'el', 'bicentenario', 'de', 'la', 'unión', 'de', 'las', 'y', 'los', 'chiapanecos', 'con', 'el', 'pueblo', 'mexicano']",0.7964
60,hoy visité a mi paisano y amigo zoé robledo director del imss en el movimiento de transformación que encabeza el presidente lópez obrador siempre serán las causas las que nos unan en beneficio de los demás conversamos ampliamente sobre los alcances y la gran oportunidad que representa la consolidación del imss bienestar y la cuarta transformación en chiapas y todo méxico,"['hoy', 'visité', 'a', 'mi', 'paisano', 'y', 'amigo', 'zoé', 'robledo', 'director', 'del', 'imss', 'en', 'el', 'movimiento', 'de', 'transformación', 'que', 'encabeza', 'el', 'presidente', 'lópez', 'obrador', 'siempre', 'serán', 'las', 'causas', 'las', 'que', 'nos', 'unan', 'en', 'beneficio', 'de', 'los', 'demás', 'conversamos', 'ampliamente', 'sobre', 'los', 'alcances', 'y', 'la', 'gran', 'oportunidad', 'que', 'representa', 'la', 'consolidación', 'del', 'imss', 'bienestar', 'y', 'la', 'cuarta', 'transformación', 'en', 'chiapas', 'y', 'todo', 'méxico']",0.0
