,texto,tokens,sentimiento
487,como mujeres somos parte de una historia de lucha y valentía somos la fuerza que mueve al país con nosotras la transformación va,"['como', 'mujeres', 'somos', 'parte', 'de', 'una', 'historia', 'de', 'lucha', 'y', 'valentía', 'somos', 'la', 'fuerza', 'que', 'mueve', 'al', 'país', 'con', 'nosotras', 'la', 'transformación', 'va']",0.0
488,hoy conmemorarnos un día histórico para méxico se cumplen 69 años del reconocimiento del derecho al voto a la mujer en la actualidad la lucha por la igualdad sustantiva de las mujeres avanza a paso firme,"['hoy', 'conmemorarnos', 'un', 'día', 'histórico', 'para', 'méxico', 'se', 'cumplen', '69', 'años', 'del', 'reconocimiento', 'del', 'derecho', 'al', 'voto', 'a', 'la', 'mujer', 'en', 'la', 'actualidad', 'la', 'lucha', 'por', 'la', 'igualdad', 'sustantiva', 'de', 'las', 'mujeres', 'avanza', 'a', 'paso', 'firme']",0.0
489,ya estamos,"['ya', 'estamos']",0.0
490,buenos días las y los espero en unos momentos en las redes de,"['buenos', 'días', 'las', 'y', 'los', 'espero', 'en', 'unos', 'momentos', 'en', 'las', 'redes', 'de']",0.0
491,ayer acompañé al alcalde de comitán,"['ayer', 'acompañé', 'al', 'alcalde', 'de', 'comitán']",0.0
492,últimos días para participar en la postulación de la mexicana o mexicano merecedor de la medalla,"['últimos', 'días', 'para', 'participar', 'en', 'la', 'postulación', 'de', 'la', 'mexicana', 'o', 'mexicano', 'merecedor', 'de', 'la', 'medalla']",0.0
493,recorremos nuestro estado para construir de la mano de ustedes un chiapas con mayor bienestar y oportunidades mi compromiso como senadora será legislador con dignidad en beneficio del pueblo,"['recorremos', 'nuestro', 'estado', 'para', 'construir', 'de', 'la', 'mano', 'de', 'ustedes', 'un', 'chiapas', 'con', 'mayor', 'bienestar', 'y', 'oportunidades', 'mi', 'compromiso', 'como', 'senadora', 'será', 'legislador', 'con', 'dignidad', 'en', 'beneficio', 'del', 'pueblo']",0.0
494,chiapas es el segundo productor a nivel nacional de cacahuate considerado un  un superalimento ya que es rico en nutrientes que aportan beneficios significativos a la salud de quienes lo consumen de forma regular,"['chiapas', 'es', 'el', 'segundo', 'productor', 'a', 'nivel', 'nacional', 'de', 'cacahuate', 'considerado', 'un', 'un', 'superalimento', 'ya', 'que', 'es', 'rico', 'en', 'nutrientes', 'que', 'aportan', 'beneficios', 'significativos', 'a', 'la', 'salud', 'de', 'quienes', 'lo', 'consumen', 'de', 'forma', 'regular']",0.0
495,en el,"['en', 'el']",0.0
496,esta tarde desde el pleno del,"['esta', 'tarde', 'desde', 'el', 'pleno', 'del']",0.0
497,cada 11 de octubre conmemoramos el día internacional de la niña para concientizar sobre la importancia de impulsar mejores condiciones para que las niñas sean escuchadas construyan el futuro y se desarrollen plenamente,"['cada', '11', 'de', 'octubre', 'conmemoramos', 'el', 'día', 'internacional', 'de', 'la', 'niña', 'para', 'concientizar', 'sobre', 'la', 'importancia', 'de', 'impulsar', 'mejores', 'condiciones', 'para', 'que', 'las', 'niñas', 'sean', 'escuchadas', 'construyan', 'el', 'futuro', 'y', 'se', 'desarrollen', 'plenamente']",0.0
499,la integridad de las infancias y juventudes en chiapas es nuestra prioridad confiamos en que las autoridades de la entidad esclarecerán el caso y se hará justicia,"['la', 'integridad', 'de', 'las', 'infancias', 'y', 'juventudes', 'en', 'chiapas', 'es', 'nuestra', 'prioridad', 'confiamos', 'en', 'que', 'las', 'autoridades', 'de', 'la', 'entidad', 'esclarecerán', 'el', 'caso', 'y', 'se', 'hará', 'justicia']",0.0
500,con el impulso a puerto chiapas nuestro estado tendrá más desarrollo y podrá consolidarse su potencial económico industrial turístico y energético,"['con', 'el', 'impulso', 'a', 'puerto', 'chiapas', 'nuestro', 'estado', 'tendrá', 'más', 'desarrollo', 'y', 'podrá', 'consolidarse', 'su', 'potencial', 'económico', 'industrial', 'turístico', 'y', 'energético']",0.0
503,ante este hecho que conmociona a la sociedad chiapaneca informo que el día de mañana se presentará un punto de acuerdo desde el senado para exhortar a las autoridades responsables no vamos a permitir que la integridad de las infancias y juventudes de chiapas se ponga en peligro,"['ante', 'este', 'hecho', 'que', 'conmociona', 'a', 'la', 'sociedad', 'chiapaneca', 'informo', 'que', 'el', 'día', 'de', 'mañana', 'se', 'presentará', 'un', 'punto', 'de', 'acuerdo', 'desde', 'el', 'senado', 'para', 'exhortar', 'a', 'las', 'autoridades', 'responsables', 'no', 'vamos', 'a', 'permitir', 'que', 'la', 'integridad', 'de', 'las', 'infancias', 'y', 'juventudes', 'de', 'chiapas', 'se', 'ponga', 'en', 'peligro']",-0.296
504,es un gran honor para mí coincidir e intercambiar puntos de vista sobre la política de méxico y el mundo admiro tu experiencia y agradezco tus palabras querido alfredo,"['es', 'un', 'gran', 'honor', 'para', 'mí', 'coincidir', 'e', 'intercambiar', 'puntos', 'de', 'vista', 'sobre', 'la', 'política', 'de', 'méxico', 'y', 'el', 'mundo', 'admiro', 'tu', 'experiencia', 'y', 'agradezco', 'tus', 'palabras', 'querido', 'alfredo']",0.4939
505,"amigas y amigos de chiapas continúo atenta de la evolución de las personas que resultaron afectadas por el caso de intoxicación en el municipio de bochil

me encuentro en entera disposición de apoyar y si conocen un caso cercano no duden en contactarme","['amigas', 'y', 'amigos', 'de', 'chiapas', 'continúo', 'atenta', 'de', 'la', 'evolución', 'de', 'las', 'personas', 'que', 'resultaron', 'afectadas', 'por', 'el', 'caso', 'de', 'intoxicación', 'en', 'el', 'municipio', 'de', 'bochil', 'me', 'encuentro', 'en', 'entera', 'disposición', 'de', 'apoyar', 'y', 'si', 'conocen', 'un', 'caso', 'cercano', 'no', 'duden', 'en', 'contactarme']",-0.296
506,"todavía puedes participar en el giveaway que organizamos en colaboración con producciones ugarte

consulta las bases en mi cuenta de","['todavía', 'puedes', 'participar', 'en', 'el', 'giveaway', 'que', 'organizamos', 'en', 'colaboración', 'con', 'producciones', 'ugarte', 'consulta', 'las', 'bases', 'en', 'mi', 'cuenta', 'de']",0.0
507,me uno a la pena por el sensible fallecimiento del senador faustino lópez y su señora esposa pilar hernández envío un abrazo fraterno para sus familiares y seres queridos descanse en paz,"['me', 'uno', 'a', 'la', 'pena', 'por', 'el', 'sensible', 'fallecimiento', 'del', 'senador', 'faustino', 'lópez', 'y', 'su', 'señora', 'esposa', 'pilar', 'hernández', 'envío', 'un', 'abrazo', 'fraterno', 'para', 'sus', 'familiares', 'y', 'seres', 'queridos', 'descanse', 'en', 'paz']",0.0
