CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PT-MORENA,"VOTOS
 NULOS",CANDIDATOS NO REGISTRADOS
1387 CONTIGUA 2,337,17,3,5,0,6,69,0,12,1,0,2,0
1387 CONTIGUA 3,307,7,2,2,2,0,71,2,7,3,2,4,0
1388 BASICA 1,270,7,4,2,7,7,104,8,5,3,3,3,0
1388 CONTIGUA 1,287,4,3,2,1,13,105,2,4,3,2,5,2
1389 BASICA 1,274,7,0,7,1,1,38,0,4,0,0,4,0
1389 CONTIGUA 1,266,7,1,1,5,1,39,1,1,0,1,1,0
1390 BASICA 1,247,5,2,1,4,1,34,2,1,0,0,2,0
1390 CONTIGUA 1,260,5,2,1,1,2,28,0,5,0,0,2,0
1391 BASICA 1,404,10,1,2,2,1,46,1,0,0,1,3,1
1391 CONTIGUA 1,382,12,3,2,2,7,44,0,0,0,2,3,0
1392 BASICA 1,316,7,2,5,3,4,66,51,3,2,0,2,1
1392 CONTIGUA 1,278,11,4,3,2,3,74,8,2,2,1,3,0
1392 CONTIGUA 2,307,7,3,0,3,7,73,0,0,0,1,2,0
1393 BASICA 1,254,12,2,4,0,5,90,0,1,0,1,2,0
1393 CONTIGUA 1,233,13,3,2,5,1,88,2,2,3,0,1,0
1393 CONTIGUA 2,242,12,0,0,4,8,107,7,1,2,0,3,0
1394 BASICA 1,211,3,0,6,3,8,91,1,2,1,3,5,0
1394 CONTIGUA 1,225,5,3,2,4,2,88,3,0,1,1,4,0
1394 CONTIGUA 2,218,8,2,0,7,4,90,5,1,2,0,6,0
1395 BASICA 1,392,10,0,4,2,2,81,5,1,0,0,1,0
1396 BASICA 1,270,8,3,1,0,3,37,0,0,0,0,3,0
1396 CONTIGUA 1,269,12,4,0,3,1,30,3,0,0,0,2,0
1397 BASICA 1,269,5,3,1,1,1,46,1,0,2,0,2,0
1397 CONTIGUA 1,239,9,1,0,1,0,56,0,0,0,0,5,0
1398 BASICA 1,406,13,5,4,1,2,36,0,0,0,2,2,1
1399 BASICA 1,322,15,2,4,3,2,81,3,7,3,0,3,0
1400 BASICA 1,250,8,3,3,2,2,48,2,0,1,2,1,0
1400 CONTIGUA 1,256,9,1,0,2,1,49,3,1,0,3,2,0
1401 BASICA 1,263,17,3,4,5,3,126,7,5,2,2,5,0
1401 CONTIGUA 1,221,13,3,7,3,8,161,6,6,1,1,5,0
1401 ESPECIAL 1,32,1,0,0,2,5,18,0,1,0,2,0,0
1402 BASICA 1,266,5,0,2,4,4,103,5,4,3,0,3,0
1402 CONTIGUA 1,265,12,1,1,2,2,113,4,0,7,0,5,0
1403 BASICA 1,245,6,0,1,2,7,48,0,4,0,0,0,0
1403 CONTIGUA 1,241,8,2,2,3,5,53,1,0,0,3,8,0
1404 BASICA 1,161,6,0,1,3,3,100,1,0,0,1,2,0
1404 CONTIGUA 1,155,8,1,2,1,8,78,1,4,1,1,1,0
1405 BASICA 1,124,9,3,1,2,4,87,1,2,2,1,4,0
1405 CONTIGUA 1,147,6,0,0,2,4,76,3,2,0,1,7,0
1406 BASICA 1,158,5,1,0,4,6,87,3,3,2,2,8,0
1406 CONTIGUA 1,141,7,3,2,3,7,102,1,3,0,4,3,0
1407 BASICA 1,244,5,4,3,2,13,140,1,3,0,2,8,1
1408 BASICA 1,235,15,0,1,4,2,91,6,1,0,1,2,0
1408 CONTIGUA 1,232,12,1,0,1,3,88,1,4,0,1,6,0
1409 BASICA 1,202,7,1,3,4,6,99,1,2,1,2,6,0
