,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
189,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
190,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
191,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
192,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
193,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
194,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
195,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
196,89367,MX,"Nuevo Amanecer, Unidad Modelo, Villas Laguna, Vista Bella, Laderas de Vista Bella, Cumbres de Vista Bella, Ampliación Luis Echeverria, Colinas San Gerardo",Tamaulipas,28,Tampico,38,Tampico,10.0,22.319475,-97.88855,1
197,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
198,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
199,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
200,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
201,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
202,89368,MX,"Gema, La Arboleda, San Pedro, FOVISSSTE Chairel, INFONAVIT Lomas Arenal, Gonzalo García Ramírez, Las Violetas",Tamaulipas,28,Tampico,38,Tampico,10.0,22.31752857142857,-97.88915714285714,1
203,89369,MX,"Villa San Pedro, Colinas del Sol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.30585,-97.8928,1
204,89369,MX,"Villa San Pedro, Colinas del Sol",Tamaulipas,28,Tampico,38,Tampico,10.0,22.30585,-97.8928,1
