,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
111,15.0,12.0,54.0,1000.0,6.907755278982137,X
112,16.0,8.0,67.0,1676.0,7.424165281042028,X
113,31.0,16.0,51.0,1000.0,6.907755278982137,X
114,11.0,8.0,52.0,2000.0,7.600902459542082,X
115,3.0,0.0,27.0,612.0,6.416732282512326,X
116,145.0,101.0,211.0,16000.0,9.680344001221918,X
117,2.0,2.0,37.0,603.0,6.401917196727186,X
118,6.0,8.0,48.0,1000.0,6.907755278982137,X
119,2.0,1.0,28.0,402.0,5.996452088619021,X
120,0.0,0.0,28.0,350.0,5.857933154483459,X
0,177.0,41.0,3.0,6873.0,8.835355971121606,TIKTOK
1,59.0,5.0,1.0,683.0,6.52649485957079,TIKTOK
2,142.0,17.0,3.0,1136.0,7.035268599281097,TIKTOK
3,123.0,33.0,3.0,3972.0,8.287025025165063,TIKTOK
4,55.0,4.0,2.0,901.0,6.803505257608338,TIKTOK
5,2187.0,381.0,99.0,84200.0,11.340950200230418,TIKTOK
6,14.0,1.0,1.0,637.0,6.456769655572163,TIKTOK
7,58.0,9.0,2.0,1002.0,6.90975328164481,TIKTOK
8,1527.0,326.0,84.0,42700.0,10.661954199216716,TIKTOK
9,90.0,9.0,4.0,1621.0,7.390798521735676,TIKTOK
10,46.0,4.0,2.0,906.0,6.80903930604298,TIKTOK
11,43.0,5.0,3.0,752.0,6.62273632394984,TIKTOK
12,607.0,100.0,13.0,9961.0,9.206432747145165,TIKTOK
13,37.0,5.0,1.0,858.0,6.754604099487962,TIKTOK
14,89.0,22.0,1.0,1586.0,7.368970402194793,TIKTOK
15,62.0,0.0,3.0,942.0,6.848005274576363,TIKTOK
16,89.0,0.0,2.0,1270.0,7.146772179452637,TIKTOK
17,197.0,18.0,5.0,1632.0,7.397561535524052,TIKTOK
18,215.0,19.0,6.0,2071.0,7.635786861395585,TIKTOK
19,115.0,0.0,4.0,2886.0,7.9676267393338165,TIKTOK
20,41.0,5.0,1.0,741.0,6.608000625296087,TIKTOK
21,52.0,12.0,2.0,907.0,6.810142450115136,TIKTOK
22,72.0,7.0,1.0,985.0,6.892641641172089,TIKTOK
23,66.0,8.0,4.0,927.0,6.831953565565855,TIKTOK
24,91.0,13.0,0.0,1267.0,7.144407180321139,TIKTOK
25,491.0,72.0,18.0,7401.0,8.909370405197466,TIKTOK
26,604.0,118.0,8.0,9547.0,9.163982247998034,TIKTOK
27,3592.0,806.0,129.0,65700.0,11.092854204472703,TIKTOK
28,60.0,4.0,0.0,1440.0,7.272398392570047,TIKTOK
29,12900.0,1114.0,654.0,375300.0,12.835480985123112,TIKTOK
30,162.0,13.0,6.0,3060.0,8.026170194946426,TIKTOK
31,43.0,2.0,1.0,1442.0,7.273786317844895,TIKTOK
32,118.0,10.0,0.0,2460.0,7.807916628926408,TIKTOK
33,82.0,12.0,0.0,1681.0,7.427144133408616,TIKTOK
34,262.0,30.0,8.0,3108.0,8.041734711487537,TIKTOK
35,61.0,4.0,1.0,1076.0,6.98100574072173,TIKTOK
36,1030.0,197.0,33.0,13700.0,9.525151111816216,TIKTOK
37,141.0,10.0,0.0,3148.0,8.054522609537294,TIKTOK
